IDs,metal,donor,atom_id,distance_A,cutoff_A,delta_A,category
BESJEO,Mo,N,7,2.54765,2.51800,0.02965,0.025_to_0.05_above
BESJIS,Mo,N,3,2.61734,2.51800,0.09934,0.05_to_0.10_above
BESJIS,Mo,N,21,2.61749,2.51800,0.09949,0.05_to_0.10_above
BEVKAR,Ru,C,17,2.39801,2.39600,0.00201,0_to_0.025_above
BEWREA,Tc,N,3,2.37667,2.33700,0.03967,0.025_to_0.05_above
BEWREA,Tc,N,15,2.43116,2.33700,0.09416,0.05_to_0.10_above
BEWREB,Ir,C,10,2.37350,2.36200,0.01150,0_to_0.025_above
BEXYIN,V,N,3,2.52254,2.45000,0.07254,0.05_to_0.10_above
BIBJON,Rh,C,39,2.52989,2.43700,0.09289,0.05_to_0.10_above
BIMLEP,Rh,C,5,2.21712,2.43700,-0.21988,within_cutoff_but_pruned
BIPANI,Ni,C,5,3.16873,2.43500,0.73373,more_than_0.20_above
BISPOK,Ni,C,2,2.21747,2.43500,-0.21753,within_cutoff_but_pruned
BIWJEX,Tc,N,6,2.34298,2.33700,0.00598,0_to_0.025_above
BIWJEX,Tc,N,10,2.34307,2.33700,0.00607,0_to_0.025_above
BOCLOU,Re,Cl,2,2.68300,2.59900,0.08400,0.05_to_0.10_above
BOJGUE,Pt,N,4,2.40919,2.28600,0.12319,0.10_to_0.20_above
BOJHEP,Pt,N,5,2.41098,2.28600,0.12498,0.10_to_0.20_above
BOJQAT,Pd,N,4,2.34858,2.27500,0.07358,0.05_to_0.10_above
BOJRUO,Pd,N,3,2.32020,2.27500,0.04520,0.025_to_0.05_above
BOPNAW,Zr,N,17,2.64105,2.60400,0.03705,0.025_to_0.05_above
BOPNAW,Zr,N,15,2.67067,2.60400,0.06667,0.05_to_0.10_above
BOQFOD,Re,Cl,75,2.60064,2.59900,0.00164,0_to_0.025_above
BORBAL,Mo,C,13,3.33564,2.53600,0.79964,more_than_0.20_above
BORBAL,Mo,C,9,3.33573,2.53600,0.79973,more_than_0.20_above
BORZEO,V,O,17,2.46005,2.41000,0.05005,0.05_to_0.10_above
BOTBIW,Re,O,5,2.38693,2.31200,0.07493,0.05_to_0.10_above
BOTBOC,Re,O,5,2.39149,2.31200,0.07949,0.05_to_0.10_above
BOWNOR,Zr,C,14,2.73264,2.71700,0.01564,0_to_0.025_above
BUBJIS,Pt,N,5,2.35697,2.28600,0.07097,0.05_to_0.10_above
BUBKAL,Pd,O,5,2.33470,2.32100,0.01370,0_to_0.025_above
BUBTEY,Zr,C,2,3.70529,2.71700,0.98829,more_than_0.20_above
BUBTEY,Zr,C,41,3.70529,2.71700,0.98829,more_than_0.20_above
BUDHIR,Ti,O,5,3.65360,2.34500,1.30860,more_than_0.20_above
BUJXAF,Au,C,2,2.21778,2.28100,-0.06322,within_cutoff_but_pruned
BUKCAN,Pd,N,2,2.29609,2.27500,0.02109,0_to_0.025_above
BUKCAN,Pd,N,3,2.29616,2.27500,0.02116,0_to_0.025_above
BUKCER,Pd,N,42,2.29464,2.27500,0.01964,0_to_0.025_above
BUKCER,Pd,N,41,2.29473,2.27500,0.01973,0_to_0.025_above
BULKAV,Mo,N,4,2.58218,2.51800,0.06418,0.05_to_0.10_above
BUPTEL,Pd,C,13,2.13265,2.49900,-0.36635,within_cutoff_but_pruned
BUVMAG,Co,C,14,1.99844,2.27000,-0.27156,within_cutoff_but_pruned
BUVMAG,Co,C,16,1.99856,2.27000,-0.27144,within_cutoff_but_pruned
BUYMOY,Mo,O,5,2.55647,2.44400,0.11247,0.10_to_0.20_above
CACWOS,Re,C,39,2.50051,2.41800,0.08251,0.05_to_0.10_above
CAHQUY,Pt,N,3,2.30090,2.28600,0.01490,0_to_0.025_above
CAKGEC,Pt,N,17,2.31536,2.28600,0.02936,0.025_to_0.05_above
CAMDIE,W,C,19,3.03792,2.50200,0.53592,more_than_0.20_above
CAMDUQ,W,C,7,3.03060,2.50200,0.52860,more_than_0.20_above
CAQKAH,W,N,6,2.60395,2.48100,0.12295,0.10_to_0.20_above
CAQWUN,Pt,N,6,2.29651,2.28600,0.01051,0_to_0.025_above
CAQWUN,Pt,N,4,2.29816,2.28600,0.01216,0_to_0.025_above
CAVQEY,W,O,3,2.44342,2.42000,0.02342,0_to_0.025_above
CAVXUT,Pt,N,2,2.29577,2.28600,0.00977,0_to_0.025_above
CAVXUT,Pt,N,4,2.29582,2.28600,0.00982,0_to_0.025_above
CAVYOO,Sc,O,6,2.46067,2.45000,0.01067,0_to_0.025_above
CAVYOO,Sc,O,8,2.49727,2.45000,0.04727,0.025_to_0.05_above
CEGZOE,Re,N,9,2.42389,2.35200,0.07189,0.05_to_0.10_above
CEHGUU,Ir,C,17,2.39154,2.36200,0.02954,0.025_to_0.05_above
CEKWUN,Ti,N,9,2.52328,2.47800,0.04528,0.025_to_0.05_above
CEKWUN,Ti,N,7,2.55643,2.47800,0.07843,0.05_to_0.10_above
CEPYIF,Au,C,3,2.15609,2.28100,-0.12491,within_cutoff_but_pruned
CEQFOV,Pd,N,2,2.30200,2.27500,0.02700,0.025_to_0.05_above
CEQFOV,Pd,N,4,2.30202,2.27500,0.02702,0.025_to_0.05_above
CEQFOV,Pd,N,3,2.30211,2.27500,0.02711,0.025_to_0.05_above
CESGAK,Pt,O,43,2.34308,2.29500,0.04808,0.025_to_0.05_above
CETYAE,Mo,O,14,2.46640,2.44400,0.02240,0_to_0.025_above
CETZEJ,Mo,O,14,2.46513,2.44400,0.02113,0_to_0.025_above
CEYVOS,V,N,18,2.45129,2.45000,0.00129,0_to_0.025_above
CEZRAB,W,N,4,2.59620,2.48100,0.11520,0.10_to_0.20_above
CEZRIJ,W,N,5,2.50129,2.48100,0.02029,0_to_0.025_above
CIDZOF,Hg,C,3,2.16889,2.85100,-0.68211,within_cutoff_but_pruned
CIFBAV,Hg,C,1,2.12447,2.85100,-0.72653,within_cutoff_but_pruned
CIFBID,Hg,C,25,2.17505,2.85100,-0.67595,within_cutoff_but_pruned
CIFBID,Hg,C,3,2.17521,2.85100,-0.67579,within_cutoff_but_pruned
CIGXAT,Nb,C,37,3.19765,2.64000,0.55765,more_than_0.20_above
CIRPAU,Re,C,8,3.35386,2.41800,0.93586,more_than_0.20_above
CIRPAU,Re,C,11,3.35401,2.41800,0.93601,more_than_0.20_above
CIWSEH,Zr,N,5,2.72970,2.60400,0.12570,0.10_to_0.20_above
CIXYUF,Re,N,9,2.35863,2.35200,0.00663,0_to_0.025_above
CIYJUP,Ir,C,26,3.39337,2.36200,1.03137,more_than_0.20_above
COFTOH,Pd,N,82,2.30896,2.27500,0.03396,0.025_to_0.05_above
COJBAF,Pd,N,5,2.37036,2.27500,0.09536,0.05_to_0.10_above
COMBAI,Re,O,22,2.31353,2.31200,0.00153,0_to_0.025_above
COPSAC,Mo,O,7,2.47733,2.44400,0.03333,0.025_to_0.05_above
COPSOQ,Mo,O,6,2.45812,2.44400,0.01412,0_to_0.025_above
CORLAW,Sc,N,7,2.63431,2.57100,0.06331,0.05_to_0.10_above
CORTUB,Re,O,5,2.33284,2.31200,0.02084,0_to_0.025_above
CUDMAR,Mo,O,5,2.47171,2.44400,0.02771,0.025_to_0.05_above
CUDMAR,Mo,O,7,2.47174,2.44400,0.02774,0.025_to_0.05_above
CUKJID,Ir,C,6,2.36532,2.36200,0.00332,0_to_0.025_above
CUMMIH,Mo,O,31,2.50264,2.44400,0.05864,0.05_to_0.10_above
CUQBOH,Pd,C,71,2.06026,2.49900,-0.43874,within_cutoff_but_pruned
CURFAY,Ti,N,5,2.60672,2.47800,0.12872,0.10_to_0.20_above
CUSNIN,Zr,C,10,2.72770,2.71700,0.01070,0_to_0.025_above
CUSNIN,Zr,C,11,2.72775,2.71700,0.01075,0_to_0.025_above
CUSQAI,Zr,C,10,2.71839,2.71700,0.00139,0_to_0.025_above
CUXVAS,Pt,C,34,2.08918,2.36600,-0.27682,within_cutoff_but_pruned
DABKAT,Zr,C,12,2.74265,2.71700,0.02565,0.025_to_0.05_above
DABKAT,Zr,C,13,2.74271,2.71700,0.02571,0.025_to_0.05_above
DACTIK,W,C,14,3.02495,2.50200,0.52295,more_than_0.20_above
DACTOQ,W,C,6,3.33061,2.50200,0.82861,more_than_0.20_above
DAGNUV,Pd,N,74,2.27969,2.27500,0.00469,0_to_0.025_above
DAHLIJ,Re,C,10,3.10174,2.41800,0.68374,more_than_0.20_above
DAJPEL,Hf,N,74,2.68580,2.55800,0.12780,0.10_to_0.20_above
DAJPEL,Hf,N,6,2.69752,2.55800,0.13952,0.10_to_0.20_above
DAKNEI,Ni,C,12,3.17046,2.43500,0.73546,more_than_0.20_above
DANLAF,Ni,C,30,3.33870,2.43500,0.90370,more_than_0.20_above
DAPZIF,Pd,N,5,2.56715,2.27500,0.29215,more_than_0.20_above
DAZGOD,V,O,7,2.54260,2.41000,0.13260,0.10_to_0.20_above
DEBYAL,Pt,Cl,73,2.51223,2.50100,0.01123,0_to_0.025_above
DEDVIS,Ir,Br,78,2.74901,2.73500,0.01401,0_to_0.025_above
DEFHAY,Re,S,4,2.74683,2.60300,0.14383,0.10_to_0.20_above
DEGZUN,Ni,C,1,1.83751,2.43500,-0.59749,within_cutoff_but_pruned
DEJTOD,Rh,C,8,2.43716,2.43700,0.00016,0_to_0.025_above
DEJTOD,Rh,C,7,2.48792,2.43700,0.05092,0.05_to_0.10_above
DEJXAS,Ti,N,2,2.55963,2.47800,0.08163,0.05_to_0.10_above
DEJXAS,Ti,N,31,2.55963,2.47800,0.08163,0.05_to_0.10_above
DELHUX,W,C,7,2.57701,2.50200,0.07501,0.05_to_0.10_above
DELHUX,W,C,8,2.57874,2.50200,0.07674,0.05_to_0.10_above
DEMFEJ,Mo,N,71,2.52124,2.51800,0.00324,0_to_0.025_above
DENREU,Ni,C,53,3.17048,2.43500,0.73548,more_than_0.20_above
DENROE,Ni,C,62,3.24382,2.43500,0.80882,more_than_0.20_above
DEPQAR,Re,N,2,2.41449,2.35200,0.06249,0.05_to_0.10_above
DESDOX,Pd,O,19,2.49334,2.32100,0.17234,0.10_to_0.20_above
DESVON,Ti,N,66,2.52856,2.47800,0.05056,0.05_to_0.10_above
DESWAA,Ti,N,51,2.51226,2.47800,0.03426,0.025_to_0.05_above
DETSED,Mo,O,8,2.48743,2.44400,0.04343,0.025_to_0.05_above
DEXBIS,Pt,C,6,3.24380,2.36600,0.87780,more_than_0.20_above
DEYJAU,Mo,O,11,2.47788,2.44400,0.03388,0.025_to_0.05_above
DIBLIK,Mo,N,6,2.53167,2.51800,0.01367,0_to_0.025_above
DIQVII,Rh,N,6,2.38181,2.36700,0.01481,0_to_0.025_above
DISDEP,Re,N,9,2.37902,2.35200,0.02702,0.025_to_0.05_above
DITWOV,Zn,N,6,2.48529,2.43300,0.05229,0.05_to_0.10_above
DITWOV,Zn,N,40,2.48644,2.43300,0.05344,0.05_to_0.10_above
DIZCOF,W,N,7,2.56633,2.48100,0.08533,0.05_to_0.10_above
DODXIE,Ir,C,8,2.38327,2.36200,0.02127,0_to_0.025_above
DODXIE,Ir,C,10,2.39906,2.36200,0.03706,0.025_to_0.05_above
DODXIE,Ir,C,6,2.40472,2.36200,0.04272,0.025_to_0.05_above
DODXIE,Ir,C,12,2.40490,2.36200,0.04290,0.025_to_0.05_above
DODXOK,Ir,C,11,2.36863,2.36200,0.00663,0_to_0.025_above
DODXOK,Ir,C,9,2.38902,2.36200,0.02702,0.025_to_0.05_above
DODXOK,Ir,C,3,2.40570,2.36200,0.04370,0.025_to_0.05_above
DODXOK,Ir,C,2,2.45707,2.36200,0.09507,0.05_to_0.10_above
DOFPOE,Pt,N,6,2.29203,2.28600,0.00603,0_to_0.025_above
DOHLIV,W,C,3,2.52099,2.50200,0.01899,0_to_0.025_above
DOHNET,Pt,N,2,2.32822,2.28600,0.04222,0.025_to_0.05_above
DOHNIX,Pt,N,39,2.33980,2.28600,0.05380,0.05_to_0.10_above
DOHPUL,Pt,N,2,2.49976,2.28600,0.21376,more_than_0.20_above
DOJBAI,Re,O,2,2.34179,2.31200,0.02979,0.025_to_0.05_above
DOJXUV,Cr,C,14,2.44357,2.40800,0.03557,0.025_to_0.05_above
DOSXEQ,Ti,C,16,2.60979,2.59200,0.01779,0_to_0.025_above
DUBJEP,W,N,34,2.48916,2.48100,0.00816,0_to_0.025_above
DUBVEC,Os,N,16,2.33127,2.31900,0.01227,0_to_0.025_above
DUBVEC,Os,N,12,2.34685,2.31900,0.02785,0.025_to_0.05_above
DUFZEL,Pd,C,21,2.41066,2.49900,-0.08834,within_cutoff_but_pruned
DUFZEL,Pd,C,22,2.58881,2.49900,0.08981,0.05_to_0.10_above
DULSEI,Ni,C,10,2.00039,2.43500,-0.43461,within_cutoff_but_pruned
DULSEI,Ni,C,35,2.00047,2.43500,-0.43453,within_cutoff_but_pruned
DUNPOT,Zr,C,14,2.72088,2.71700,0.00388,0_to_0.025_above
DUNPOT,Zr,C,9,2.72355,2.71700,0.00655,0_to_0.025_above
DUQRAK,V,O,8,2.42122,2.41000,0.01122,0_to_0.025_above
DUSSAL,Ni,S,5,2.67918,2.62200,0.05718,0.05_to_0.10_above
DUSSAL,Ni,S,4,2.68086,2.62200,0.05886,0.05_to_0.10_above
DUTGOO,Pt,N,4,2.28612,2.28600,0.00012,0_to_0.025_above
EAIVCO,Co,O,43,2.37229,2.22900,0.14329,0.10_to_0.20_above
ECECIY,Re,O,7,2.49210,2.31200,0.18010,0.10_to_0.20_above
ECIGUT,Pt,C,19,2.39386,2.36600,0.02786,0.025_to_0.05_above
ECIGUT,Pt,C,45,2.43613,2.36600,0.07013,0.05_to_0.10_above
ECIGUT,Pt,C,4,2.90444,2.36600,0.53844,more_than_0.20_above
ECIGUT,Pt,C,39,3.03850,2.36600,0.67250,more_than_0.20_above
ECOTEV,Rh,C,51,2.44619,2.43700,0.00919,0_to_0.025_above
ECOTEV,Rh,C,50,2.47606,2.43700,0.03906,0.025_to_0.05_above
EDUMAR,Zr,C,40,4.60882,2.71700,1.89182,more_than_0.20_above
EDUMAR,Zr,C,28,4.60910,2.71700,1.89210,more_than_0.20_above
EFUGOB,Rh,N,18,2.39676,2.36700,0.02976,0.025_to_0.05_above
EGAVOZ,Re,O,7,2.42748,2.31200,0.11548,0.10_to_0.20_above
EJUHOI,V,N,6,2.45237,2.45000,0.00237,0_to_0.025_above
EKAVAN,Pd,N,40,2.31383,2.27500,0.03883,0.025_to_0.05_above
ELOLOG,Re,N,4,2.40958,2.35200,0.05758,0.05_to_0.10_above
ELUGUN,Re,Cl,4,2.72019,2.59900,0.12119,0.10_to_0.20_above
ENEGAF,Pd,N,4,2.28611,2.27500,0.01111,0_to_0.025_above
ENEGIN,Pd,N,3,2.27594,2.27500,0.00094,0_to_0.025_above
EQIBOX,Mo,N,3,2.54379,2.51800,0.02579,0.025_to_0.05_above
EQIREC,Re,N,10,2.40541,2.35200,0.05341,0.05_to_0.10_above
EQUKAD,Re,N,7,2.38939,2.35200,0.03739,0.025_to_0.05_above
ESOBUJ,Ta,C,41,3.32885,2.62300,0.70585,more_than_0.20_above
ESORIN,Ti,N,56,2.50461,2.47800,0.02661,0.025_to_0.05_above
ETEDEO,Re,O,3,2.32885,2.31200,0.01685,0_to_0.025_above
EWEYAG,Pt,S,4,2.60277,2.51100,0.09177,0.05_to_0.10_above
EWIYEP,Au,C,12,2.28124,2.28100,0.00024,0_to_0.025_above
EWIYEP,Au,C,7,2.35754,2.28100,0.07654,0.05_to_0.10_above
EWUVUN,Pt,S,3,2.53903,2.51100,0.02803,0.025_to_0.05_above
EYENAX,Mn,C,21,2.28769,2.35700,-0.06931,within_cutoff_but_pruned
EYUNUJ,Re,Cl,3,2.61148,2.59900,0.01248,0_to_0.025_above
EZEWEL,Re,O,9,2.32837,2.31200,0.01637,0_to_0.025_above
FABWIO,W,N,6,2.50004,2.48100,0.01904,0_to_0.025_above
FABZEN,W,N,6,2.48232,2.48100,0.00132,0_to_0.025_above
FABZEN,W,N,7,2.54372,2.48100,0.06272,0.05_to_0.10_above
FABZIR,W,N,4,2.50843,2.48100,0.02743,0.025_to_0.05_above
FABZIR,W,N,27,2.50880,2.48100,0.02780,0.025_to_0.05_above
FAGKUT,Zr,C,8,3.58243,2.71700,0.86543,more_than_0.20_above
FAJDAW,Rh,C,23,2.44793,2.43700,0.01093,0_to_0.025_above
FAJDAW,Rh,C,45,2.45016,2.43700,0.01316,0_to_0.025_above
FAKJOR,Re,N,4,2.38157,2.35200,0.02957,0.025_to_0.05_above
FAPSIB,Fe,C,69,3.23411,2.32900,0.90511,more_than_0.20_above
FAVTUT,Ta,O,7,2.41826,2.40700,0.01126,0_to_0.025_above
FAWQID,Re,Se,4,2.71078,2.70100,0.00978,0_to_0.025_above
FAWQID,Re,Se,3,2.71084,2.70100,0.00984,0_to_0.025_above
FEHQOY,Ru,C,21,2.45788,2.39600,0.06188,0.05_to_0.10_above
FEKGUA,Pt,N,5,2.30077,2.28600,0.01477,0_to_0.025_above
FENNIX,Ti,N,10,2.51233,2.47800,0.03433,0.025_to_0.05_above
FENQAQ,Zr,C,11,2.72720,2.71700,0.01020,0_to_0.025_above
FEPFOW,Zr,N,3,2.62316,2.60400,0.01916,0_to_0.025_above
FESBAH,Pd,N,5,2.54839,2.27500,0.27339,more_than_0.20_above
FEVQOO,Pd,N,3,2.31082,2.27500,0.03582,0.025_to_0.05_above
FEVQOO,Pd,N,2,2.31083,2.27500,0.03583,0.025_to_0.05_above
FEVQUU,Pd,N,2,2.31423,2.27500,0.03923,0.025_to_0.05_above
FEVQUU,Pd,N,3,2.31457,2.27500,0.03957,0.025_to_0.05_above
FEVTIM,Ni,C,2,3.23306,2.43500,0.79806,more_than_0.20_above
FEWLIF,Mo,O,15,2.57196,2.44400,0.12796,0.10_to_0.20_above
FEWVIN,Pt,C,5,3.25269,2.36600,0.88669,more_than_0.20_above
FEWWEK,Pt,C,15,3.31284,2.36600,0.94684,more_than_0.20_above
FEWWOT,Zr,C,8,3.57512,2.71700,0.85812,more_than_0.20_above
FEXNOM,Re,Cl,2,2.60518,2.59900,0.00618,0_to_0.025_above
FEXRIJ,Mo,O,6,2.51635,2.44400,0.07235,0.05_to_0.10_above
FEYBUI,Pt,N,55,2.29856,2.28600,0.01256,0_to_0.025_above
FEZJAX,Mo,O,8,2.50232,2.44400,0.05832,0.05_to_0.10_above
FEZQUZ,Pt,N,7,2.32666,2.28600,0.04066,0.025_to_0.05_above
FEZRAG,Pt,N,7,2.32390,2.28600,0.03790,0.025_to_0.05_above
FIGHOT,Zr,O,60,2.58393,2.51900,0.06493,0.05_to_0.10_above
FIGHOT,Zr,O,59,2.58399,2.51900,0.06499,0.05_to_0.10_above
FIJSOH,V,N,27,2.45344,2.45000,0.00344,0_to_0.025_above
FIPPAV,Pd,N,4,2.31400,2.27500,0.03900,0.025_to_0.05_above
FIPPAV,Pd,N,3,2.31880,2.27500,0.04380,0.025_to_0.05_above
FIRJOH,Mo,O,10,2.50156,2.44400,0.05756,0.05_to_0.10_above
FIWTAG,Mo,C,34,3.05519,2.53600,0.51919,more_than_0.20_above
FODBAB,Pd,N,4,2.27731,2.27500,0.00231,0_to_0.025_above
FOKVIN,W,C,13,3.36924,2.50200,0.86724,more_than_0.20_above
FOKVIN,W,C,3,3.37236,2.50200,0.87036,more_than_0.20_above
FOMHEU,Cu,C,2,2.81686,2.67200,0.14486,0.10_to_0.20_above
FOPDAR,Zr,C,27,3.26365,2.71700,0.54665,more_than_0.20_above
FORNIL,Fe,C,30,2.88009,2.32900,0.55109,more_than_0.20_above
FOVFAZ,Hf,N,2,2.55945,2.55800,0.00145,0_to_0.025_above
FOXZOH,Mo,O,7,2.55291,2.44400,0.10891,0.10_to_0.20_above
FUBVII,Pd,N,6,2.28078,2.27500,0.00578,0_to_0.025_above
FUHXIQ,Pd,N,7,2.28134,2.27500,0.00634,0_to_0.025_above
FUNNUX,Pt,S,3,2.54769,2.51100,0.03669,0.025_to_0.05_above
FUNPIO,Pd,N,4,2.31428,2.27500,0.03928,0.025_to_0.05_above
FUQHOQ,Re,N,27,2.40061,2.35200,0.04861,0.025_to_0.05_above
FUQTIW,Ir,C,23,2.20323,2.36200,-0.15877,within_cutoff_but_pruned
FUQTOC,Ir,C,23,2.18121,2.36200,-0.18079,within_cutoff_but_pruned
FUYWUT,Pt,N,3,2.30301,2.28600,0.01701,0_to_0.025_above
FUYWUT,Pt,N,4,2.34660,2.28600,0.06060,0.05_to_0.10_above
GAGCUN,Os,C,47,2.39585,2.39500,0.00085,0_to_0.025_above
GAGCUN,Os,C,45,2.42342,2.39500,0.02842,0.025_to_0.05_above
GAKQUE,Rh,C,28,3.18395,2.43700,0.74695,more_than_0.20_above
GALNUF,Ir,C,39,3.10182,2.36200,0.73982,more_than_0.20_above
GALNUF,Ir,C,47,3.10197,2.36200,0.73997,more_than_0.20_above
GAYKUO,Ru,N,7,2.55096,2.33000,0.22096,more_than_0.20_above
GECFID,V,N,10,2.50082,2.45000,0.05082,0.05_to_0.10_above
GECHEB,Pt,N,3,2.31758,2.28600,0.03158,0.025_to_0.05_above
GECHEB,Pt,N,29,2.31758,2.28600,0.03158,0.025_to_0.05_above
GEDMOS,Nb,C,51,3.38369,2.64000,0.74369,more_than_0.20_above
GEGHEG,Pd,O,2,2.34503,2.32100,0.02403,0_to_0.025_above
GEGMOW,Re,O,10,2.31774,2.31200,0.00574,0_to_0.025_above
GEKCAA,Re,C,7,2.55287,2.41800,0.13487,0.10_to_0.20_above
GEKCAA,Re,C,11,2.55775,2.41800,0.13975,0.10_to_0.20_above
GEKYIE,Co,C,23,3.88868,2.27000,1.61868,more_than_0.20_above
GELDEG,Co,C,52,3.99225,2.27000,1.72225,more_than_0.20_above
GELDIK,Co,C,43,3.18730,2.27000,0.91730,more_than_0.20_above
GELGEJ,Co,C,39,3.18063,2.27000,0.91063,more_than_0.20_above
GEQXAC,Pd,N,10,2.29030,2.27500,0.01530,0_to_0.025_above
GESZEJ,Ni,C,6,3.12207,2.43500,0.68707,more_than_0.20_above
GEZNIK,Re,S,2,2.60914,2.60300,0.00614,0_to_0.025_above
GIGSAT,Mo,N,46,2.52386,2.51800,0.00586,0_to_0.025_above
GIJXEC,Re,C,13,3.27914,2.41800,0.86114,more_than_0.20_above
GIMLUJ,W,C,18,2.55678,2.50200,0.05478,0.05_to_0.10_above
GIMLUJ,W,C,17,2.57329,2.50200,0.07129,0.05_to_0.10_above
GIMVIJ,Ni,C,43,3.16727,2.43500,0.73227,more_than_0.20_above
GINROK,Y,O,6,2.67314,2.66300,0.01014,0_to_0.025_above
GIYBOH,Mo,N,14,2.57625,2.51800,0.05825,0.05_to_0.10_above
GOFVUS,Ru,O,4,2.41709,2.41400,0.00309,0_to_0.025_above
GOMLUP,Ti,O,6,4.46022,2.34500,2.11522,more_than_0.20_above
