IDs,priority_tier,consensus_outlier_score,ligand_outlier,metal_connectivity_outlier,metal_oxidation_outlier,metal,formula,n_atoms,ilp_neighbors,reference_neighbors,ilp_oxidation,reference_oxidation
KUDKOK,A,3,1,1,1,Au,C16 H35 Au1 P1 1+,53,C P,C C P,3,1
LECSOC,A,3,1,1,1,Mo,C18 H25 Mo1 N3 O6,53,N O O O O O,N N O O O O O,2,6
MUFHEC,A,3,1,1,1,V,C19 H22 N3 O4 V1,49,N O O O O,N N O O O O,3,5
MULVEV,A,3,1,1,1,Au,C27 H39 Au1 P1 1+,68,C P,C C P,3,1
NELVOS,A,3,1,1,1,Mo,C16 H19 Mo1 N2 O7 1-,45,O O O O O O,O O O O O O O,2,6
OWIRES,A,3,1,1,1,Au,C25 H35 Au1 P1 1+,62,C P,C C P,3,1
PEDFUZ,A,3,1,1,1,W,C13 H14 O5 W1,33,C C C C C C,C C C C C C C,2,0
PENOFE,A,3,1,1,1,Fe,C17 H12 F6 Fe1 O5,41,C C C C C C,C C C C C C C,2,0
POFSUA,A,3,1,1,1,Zn,C27 H46 N2 Si2 Zn1,78,C,C C C,0,2
QOXBIP,A,3,1,1,1,W,C10 H6 N1 O7 W1 1-,25,O O O O O O,N O O O O O O,2,6
QUSBUB,A,3,1,1,1,Ru,C24 H45 N2 Ru1 Si1 1+,73,C C C C C N Si,C C C C C C C N Si,4,2
QUWBEQ,A,3,1,1,1,Pt,C13 H23 Cl1 Pt1,38,C C C C Cl,C C C C C Cl,4,2
QUWBIU,A,3,1,1,1,Pt,C13 H23 Br1 Pt1,38,Br C C C C,Br C C C C C,4,2
RAGHEM,A,3,1,1,1,Pd,C12 H11 Cl1 N2 Pd1,27,C Cl N,C Cl N N,4,2
RUPXUW,A,3,1,1,1,Pt,C14 H23 Cl1 Pt1,39,C C C C Cl,C C C C C Cl,4,2
SAFVIF,A,3,1,1,1,Mo,C26 H26 Mo1 O7 P2,62,O O O O O O,O O O O O O O,2,6
SAJQIE,A,3,1,1,1,W,C18 H14 O4 S1 W1,38,C C C C C S,C C C C C C S,2,0
SUQWIL,A,3,1,1,1,Au,C31 H44 Au1 N2 1+,78,C C,C C C,3,1
TOHNEJ,A,3,1,1,1,Cr,C22 H28 Cr1 O3,54,C C C C C C C C,C C C C C C C C C,2,0
UDORIO,A,3,1,1,1,Pt,C23 H29 N2 O1 Pt1 1+,56,C C C C N,C C C C C N N,4,2
ULATUY,A,3,1,1,1,V,C21 H17 Br1 N3 O4 V1,47,N O O O O,N N O O O O,3,5
VAWBIH,A,3,1,1,1,Mo,C23 H22 Mo1 N4 O4,54,N O O O O,N N O O O O,4,6
VEBZAF,A,3,1,1,1,Re,C8 H19 Cl3 N2 O3 P1 Re1,37,Cl Cl N O P,Cl Cl Cl N O P,7,5
WAWNOX,A,3,1,1,1,Pt,C17 H23 Br1 Pt1,42,Br C C C C,Br C C C C C,4,2
WEXFAI,A,3,1,1,1,V,C7 H5 N1 O8 V1 1-,22,N O O O O O,N O O O O O O,3,5
WIDLOK,A,3,1,1,1,Re,C20 H30 N1 O4 Re1 Se2,58,C C C N Se Se,C C C C C N Se Se,3,5
WOJGAE,A,3,1,1,1,Pt,C16 H22 O2 Pt1,41,C C C C C,C C C C C C,4,2
XAZBEI,A,3,1,1,1,Au,C26 H23 Au1 P1 1+,51,C P,C C P,3,1
XEWTIF,A,3,1,1,1,Ir,C18 H23 Cl1 Ir1 N4 O2 1+,49,C C C C Cl O,C C C C C C Cl O,5,3
XITYEH,A,3,1,1,1,Pt,C18 H27 Cl1 Pt1,47,C C C C Cl,C C C C C Cl,4,2
XUZLAF,A,3,1,1,1,Ru,C33 H40 N1 O1 P1 Ru1,77,C C C C C C P,C C C C C C C P,0,2
YASPAM,A,3,1,1,1,Ru,C39 H36 Cl1 N2 O1 P2 Ru1 1+,82,C Cl N N P,C Cl N N P P,4,2
YASPOX,A,3,1,1,1,Pt,C14 H17 Cl1 Pt1,33,C C C C Cl,C C C C C Cl,4,2
YEBDOY,A,3,1,1,1,Ru,C39 H41 N1 O1 P1 Ru1 1+,84,C C C C C C O P,C C C C C C C O P,4,2
YEVWAX,A,3,1,1,1,Mo,C3 H6 Mo1 N2 O6,18,N O O O O O,N O O O O O O,2,6
YOVNOM,A,3,1,1,1,Mn,C21 H27 Mn1 O3,52,C C C C C C C,C C C C C C C C,3,1
YULBOY,A,3,1,1,1,Pt,C24 H48 B4 Pt1,77,B B B B,B B B B C C C C,4,0
ZEVGIS,A,3,1,1,1,V,C10 H12 N5 O5 V1,33,N N O O O O,N N N O O O O,3,5
ZIGPEK,A,3,1,1,1,Mo,C20 H20 Mo1 N1 O7 P1,50,O O O O O O,O O O O O O O,2,6
ZIJBEB,A,3,1,1,1,Ir,C24 H26 Br1 Cl1 Ir1 N2 O1 1+,56,C C C C Cl N,C C C C C C Cl N,5,3
ACNCFE,B,2,1,0,1,Fe,C16 H8 Fe1 O4,29,C C C C C C,C C C C C C,2,0
ACOBEA,B,2,1,0,1,Pd,C32 H30 N4 O4 Pd1,71,N N N N,N N N N,0,2
ACPIRE,B,2,1,0,1,Re,C14 H12 N1 O5 Re1,33,C C C C C C,C C C C C C,3,1
ACUSAS,B,2,1,0,1,Pd,C18 H22 Cl2 N1 O2 P1 Pd1 S1,48,Cl Cl P S,Cl Cl P S,4,2
ADIBUL,B,2,1,0,1,Pt,C30 H26 Cl2 N2 O1 P2 Pt1,64,Cl Cl N P,Cl Cl N P,4,2
ADIYOD,B,2,1,0,1,Ru,C12 H36 Cl2 O12 P4 Ru1,67,Cl Cl P P P P,Cl Cl P P P P,4,2
AFAKAW,B,2,1,0,1,Pt,C23 H29 Cl2 N3 O3 Pt1 S2,63,Cl Cl N S,Cl Cl N S,4,2
AFEDUL,B,2,1,0,1,Ru,C17 H22 Br1 Cl1 N2 O3 Ru1 S2,49,Cl N N O S S,Cl N N O S S,6,2
AFOYAV,B,2,1,0,1,Cr,C23 H18 Cr1 N2 O5,49,C C C C C C,C C C C C C,2,0
AGACAO,B,2,1,0,1,Mo,C17 H17 Mo1 N3 O5,43,N O O O O,N O O O O O,4,6
AGOGEJ,B,2,1,0,1,Pd,C36 H35 Cl1 N1 O1 P1 Pd1,76,C C Cl P,C C Cl P,4,2
AGOQIX,B,2,1,0,1,Ru,C12 H21 Cl2 N3 O3 Ru1 S2,44,Cl Cl N O S S,Cl Cl N O S S,4,2
AHUCAI,B,2,1,0,1,Mn,C13 H30 Mn1 N4 O2 1+,50,N N N N O O,N N N N O O,1,3
AJEBAS,B,2,1,0,1,Pt,C9 H18 Cl2 N2 O1 Pt1 S1,34,Cl Cl N S,Cl Cl N S,4,2
AKOBEI,B,2,1,0,1,Ir,C23 H28 Cl1 Ir1 N2 O2,57,C C C Cl,C C C Cl,3,1
AKOBIM,B,2,1,0,1,Ir,C29 H40 Cl1 Ir1 N2 O2,75,C C C Cl,C C C Cl,3,1
ALANRE,B,2,1,0,1,Re,C13 H16 N1 O7 Re1,38,C C C C C C,C C C C C C,3,1
ALAVUF,B,2,1,0,1,Ru,C14 H22 Cl1 N2 O3 Ru1 S2 1+,45,Cl N N O S S,Cl N N O S S,4,2
ALAWAM,B,2,1,0,1,Ru,C16 H26 Cl1 N2 O3 Ru1 S3 1+,52,Cl N N O S S,Cl N N O S S,4,2
ALAWEQ,B,2,1,0,1,Ru,C15 H24 Cl1 N2 O3 Ru1 S2 1+,48,Cl N N O S S,Cl N N O S S,4,2
ALILAI,B,2,1,0,1,Mo,C27 H20 Mo1 N6 O3 S1,58,N N N O O S,N N N O O S,6,4
ALIPIU,B,2,1,0,1,Ru,C22 H26 Cl2 N2 O2 Ru1 S2,57,Cl Cl N N S S,Cl Cl N N S S,6,2
ALIQAN,B,2,1,0,1,Ru,C18 H22 Cl1 N2 O3 Ru1 S2 1+,49,Cl N N O S S,Cl N N O S S,6,2
ALOXAB,B,2,1,0,1,Pt,C20 H20 N3 Pt1 S1 1+,45,N N N S,N N N S,4,2
AMINOA,B,2,1,0,1,Fe,C40 H37 Fe1 N1 O1 P1 Si1 1+,82,C C C C C C C P,C C C C C C C P,4,2
AMIQOE,B,2,1,0,1,Cu,C27 H39 B1 Cl1 Cu1 N6 S3,78,B Cl S S S,B Cl S S S,3,1
AMIRAR,B,2,1,0,1,Cu,C29 H42 B1 Cu1 N7 S3 1+,83,B N S S S,B N S S S,3,1
ANIFEJ,B,2,1,0,1,Ru,C15 H25 Cl2 N3 O3 Ru1 S2,51,Cl Cl N O S S,Cl Cl N O S S,4,2
APIKER,B,2,1,0,1,Pt,C31 H30 Cl2 N4 Pt1,68,C C Cl Cl,C C Cl Cl,4,2
APIRIC,B,2,1,0,1,Ru,C28 H20 Cl1 N7 Ru1,57,Cl N N N N N,Cl N N N N N,4,2
APOFIW,B,2,1,0,1,Pd,C32 H28 Cl2 N2 Pd1,65,Cl Cl N N,Cl Cl N N,4,2
APUDUL,B,2,1,0,1,Au,C21 H28 Au1 Cl1 N2,53,C Cl,C Cl,3,1
APUFAT,B,2,1,0,1,Au,C33 H40 Au1 Cl1 N2,77,C Cl,C Cl,3,1
APUFEX,B,2,1,0,1,Au,C9 H16 Au1 Cl1 N2,29,C Cl,C Cl,3,1
APUYOB,B,2,1,0,1,Cu,C31 H32 Br1 Cu1 N2,67,Br C,Br C,3,1
AQAHEH,B,2,1,0,1,Pt,C11 H21 O1 Pt1 S1 1+,35,C C C C C S,C C C C C S,4,2
AQAXIZ,B,2,1,0,1,Ru,C17 H27 Cl1 O8 Ru1 S3,57,Cl O O S S S,Cl O O S S S,4,2
AQAXOF,B,2,1,0,1,Ru,C16 H26 Cl1 N1 O7 Ru1 S3,55,Cl O O S S S,Cl O O S S S,8,2
ARUVEP,B,2,0,1,1,Nb,C27 H37 B1 N7 Nb1,73,C C C N N N N,C C C C N N N N,1,3
ASAVOH,B,2,1,0,1,Mn,C19 H22 Mn1 N4 O5 1-,51,N N N N O,N N N N O,3,5
ATODEU,B,2,1,0,1,Pt,C23 H32 Cl2 N2 Pt1,60,Cl Cl N N,Cl Cl N N,4,2
ATODIY,B,2,1,0,1,Pd,C23 H32 Cl2 N2 Pd1,60,Cl Cl N N,Cl Cl N N,4,2
AVANAN,B,2,1,0,1,Au,C35 H44 Au1 N4 1+,84,C C,C C,3,1
AVOVUC,B,2,1,0,1,Mo,C9 H21 Mo1 O6 P1,38,O O O O O O,O O O O O O,2,6
AWIZAJ,B,2,1,0,1,Ru,C28 H22 Br1 Cl2 N2 P1 Ru1,57,Br Cl Cl N N P,Br Cl Cl N N P,4,2
AYOPAF,B,2,1,0,1,Ru,C21 H17 Cl1 N5 O1 Ru1 1+,46,C Cl N N N N,C Cl N N N N,4,2
AYUNIT,B,2,1,0,1,Re,C23 H17 N3 O3 Re1 1+,47,C C C N N N,C C C N N N,3,1
AZEDEP,B,2,1,0,1,Pd,C26 H32 Cl2 N2 Pd1,63,Cl Cl N N,Cl Cl N N,4,2
AZEQUR,B,2,1,0,1,Ru,C24 H28 Cl1 N4 Ru1 1+,58,C C C C C C Cl N N,C C C C C C Cl N N,4,2
BAKYAQ,B,2,1,0,1,Ni,C36 H40 Cl2 N4 Ni1,83,Cl Cl N N,Cl Cl N N N N,4,2
BAMQOW,B,2,1,1,0,Zr,C23 H25 N1 Zr1,50,C C C C C C C C C C N,C C C C C C C C C C C N,4,4
BAQVEW,B,2,1,0,1,V,C20 H16 N3 O5 V1,45,N N O O O O O,N N O O O O O,3,5
BASLUF,B,2,1,0,1,Ru,C36 H32 N5 O1 Ru1 1+,75,N N N N N O,N N N N N O,4,2
BASWEZ,B,2,1,0,1,Au,C22 H20 Au1 Cl1 N2,46,C Cl,C Cl,3,1
BASWID,B,2,1,0,1,Au,C17 H18 Au1 Cl1 N2 O1,40,C Cl,C Cl,3,1
BAWJOB,B,2,1,0,1,Ru,C37 H31 N6 Ru1 1+,75,C C N N N N,C C N N N N,6,2
BAWJUH,B,2,1,0,1,Ru,C30 H24 Br1 N6 Ru1 1+,62,C C N N N N,C C N N N N,4,2
BAWPUM,B,2,1,0,1,Ru,C33 H23 N4 O2 Ru1 1+,63,N N N N O O,N N N N O O,4,2
BAXCOS,B,2,1,0,1,Hf,C14 H28 Hf1 P2,45,C C C C C C C C P P,C C C C C C C C P P,4,0
BAYLOE,B,2,1,0,1,Ru,C17 H21 Cl2 N5 O2 Ru1 S2,50,Cl Cl N N S S,Cl Cl N N S S,6,2
BAYLUK,B,2,1,0,1,Ru,C19 H25 Br1 Cl1 N5 O3 Ru1 S3,58,Cl N N S S S,Cl N N S S S,4,2
BEFFEY,B,2,1,0,1,Au,C14 H27 Au1 N2 O2,46,C C,C C,3,1
BEFMUX,B,2,1,1,0,Ti,C35 H38 Cl1 N3 O3 Ti1,81,C Cl N O O,C Cl N O O O,4,4
BEKDUS,B,2,1,0,1,Ni,C16 H38 N2 Ni1 P2 S1,60,C P P S,C P P S,4,2
BEKFAA,B,2,1,0,1,Ni,C16 H36 Ni1 O2 P2 S1,58,C P P S,C P P S,4,2
BELXEV,B,2,1,0,1,Pt,C21 H22 Cl2 N1 P1 Pt1,48,C Cl Cl P,C Cl Cl P,4,2
BERQEV,B,2,1,0,1,Ir,C30 H39 Cl1 Ir1 N2 1+,73,C C C C C C Cl N,C C C C C C Cl N,5,3
BEZNID,B,2,1,0,1,W,C15 H13 N1 O4 W1,34,C C C C C C C,C C C C C C C,2,0
BICRIQ,B,2,1,0,1,Pd,C21 H28 Cl2 N4 Pd1,56,C C Cl Cl,C C Cl Cl,4,2
BICZUI,B,2,1,0,1,Au,C9 H11 Au1 Cl1 N1,23,C Cl,C Cl,3,1
BIJMEO,B,2,1,0,1,Ni,C34 H30 N8 Ni1 O4,77,N N N N O O,N N N N O O,4,2
BOBNOX,B,2,1,0,1,Fe,C27 H41 Cl2 Fe1 N2 O1 P1,75,Cl Cl N N P,Cl Cl N N P,4,2
BOHDEI,B,2,1,0,1,Ag,C23 H30 Ag1 Br1 N2,57,Br C,Br C,3,1
BOHDIM,B,2,1,0,1,Ag,C21 H26 Ag1 I1 N2,51,C I,C I,3,1
BOHDOS,B,2,1,0,1,Ag,C27 H30 Ag1 Br1 N2,61,Br C,Br C,3,1
BOKDIR,B,2,1,0,1,Ru,C24 H28 Cl1 N2 O3 Ru1 1+,59,C C C C C C Cl N O,C C C C C C Cl N O,4,2
BOLLAS,B,2,1,0,1,Ni,C11 H21 N7 Ni1 S2,42,N N S S,N N S S,0,2
BOLLEW,B,2,1,0,1,Ni,C12 H24 N7 Ni1 S2 1+,46,N N S S,N N S S,0,2
BOLMIB,B,2,1,0,1,Rh,C23 H35 Cl1 N2 O2 P1 Rh1,65,Cl N N O O P,Cl N N O O P,1,3
BOLMUM,B,2,1,0,1,Au,C6 H7 Au1 Cl1 N3,18,C Cl,C Cl,3,1
BOLNAT,B,2,1,0,1,Au,C31 H35 As1 Au1 N2 1+,70,As C,As C,3,1
BONCIR,B,2,1,0,1,Ni,C28 H26 N2 Ni1 O2 P2,61,O O P P,O O P P,4,2
BOXWOB,B,2,1,0,1,Rh,C31 H42 Cl1 N2 Rh1,77,C C C C C Cl,C C C C C Cl,3,1
BOYFOL,B,2,1,0,1,Ru,C32 H32 Cl2 N4 O8 Ru1,79,Cl Cl N N N N,Cl Cl N N N N,4,2
BUCGOX,B,2,1,0,1,Pd,C14 H9 Cl4 F1 N2 Pd1,31,Cl Cl N N,Cl Cl N N,4,2
BUCJOZ,B,2,1,0,1,Ru,C37 H36 Cl1 N5 O1 P1 Ru1 S1 1+,83,Cl N N N P S,Cl N N N P S,4,2
BUJXAF,B,2,1,1,0,Au,C33 H30 Au1 O10 P1,75,P,C P,1,1
BUTZOG,B,2,1,0,1,Au,C9 H20 Au1 Cl1 N2,33,C Cl,C Cl,3,1
BUTZUM,B,2,1,0,1,Au,C9 H18 Au1 Cl1 N2,31,C Cl,C Cl,3,1
BUVBAW,B,2,1,0,1,Au,C11 H22 Au1 Cl1 N2,37,C Cl,C Cl,3,1
BUVBEA,B,2,1,0,1,Au,C11 H20 Au1 F6 N3 O4 S2,47,C N,C N,3,1
BUVBIE,B,2,1,0,1,Au,C12 H18 Au1 Cl1 N2 O1,35,C Cl,C Cl,3,1
BUVBOK,B,2,1,0,1,Au,C9 H20 Au1 Cl1 N2,33,C Cl,C Cl,3,1
BUVCEB,B,2,1,0,1,Au,C14 H20 Au1 Cl1 N2,38,C Cl,C Cl,3,1
BUVCOL,B,2,1,0,1,Au,C11 H24 Au1 Cl1 N2,39,C Cl,C Cl,3,1
BUVCUR,B,2,1,0,1,Au,C15 H26 Au1 Cl1 N2,45,C Cl,C Cl,3,1
BUXMUC,B,2,1,0,1,Ru,C23 H26 Cl2 O2 P2 Ru1 S1,57,C Cl Cl P P S,C Cl Cl P P S,4,2
BUZYEB,B,2,1,0,1,Ru,C41 H36 Cl1 N2 O1 P2 Ru1 1+,84,C Cl N N P P,C Cl N N P P,4,2
CABSEG,B,2,1,0,1,W,C16 H16 N2 O6 W1,41,N O O O O O O,N O O O O O O,4,6
CAHJUT,B,2,1,0,1,Au,C18 H35 Au1 Cl1 N3 O2,60,C Cl,C Cl,3,1
CAJQEJ,B,2,1,0,1,Ni,C12 H18 N4 Ni1 O4 S4,43,N N O S S,N N O O S S,4,2
CAQZUQ,B,2,1,0,1,Ru,C5 H17 Cl2 N3 O3 Ru1 S2,33,Cl Cl N O S S,Cl Cl N O S S,4,2
CASWIC,B,2,1,0,1,Ni,C17 H18 N4 Ni1 O1 S1,42,N N N O,N N N O,0,2
CAVYAZ,B,2,1,0,1,V,C10 H8 N2 O5 V1 1-,26,N N O O O O O,N N O O O O O,1,5
CECTEM,B,2,1,0,1,Au,C22 H32 Au1 N4 1+,59,C C,C C,3,1
CEFROU,B,2,1,0,1,V,C16 H12 N3 O5 V1,37,N N N O O O O,N N N O O O O,3,5
CEHQIP,B,2,1,0,1,Pt,C26 H30 N6 P2 Pt1,65,C C P P,C C P P,4,2
CELHAD,B,2,1,0,1,Ni,C28 H30 N3 Ni1 O2 P1 S1,66,N N O P,N N O P,0,2
CELNIS,B,2,1,0,1,V,C12 H9 N2 O5 V1,29,N N O O O O O,N N O O O O O,3,5
CENXOK,B,2,1,0,1,Pd,C16 H17 Br2 N3 Pd1,39,Br Br C N,Br Br C N,4,2
CEPHAI,B,2,1,0,1,Mo,C34 H36 Mo1 N4,75,C N N N N,C N N N N,4,6
CEQRIZ,B,2,1,0,1,Ru,C27 H47 B2 N1 Ru1,78,B B C C C C C C C C C,B B C C C C C C C C C,6,2
CERQAT,B,2,1,0,1,Au,C29 H42 Au1 Cl1 N2,75,C Cl,C Cl,3,1
CERWIH,B,2,1,0,1,Pd,C24 H25 Cl2 N3 Pd1,55,C C Cl Cl,C C Cl Cl,4,2
CESJAO,B,2,1,0,1,Pt,C35 H37 B1 P2 Pt1,76,B C C P P,C C P P,4,2
CEWGOD,B,2,1,0,1,Pd,C25 H33 Cl2 N3 Pd1,64,C C Cl Cl,C C Cl Cl,4,2
CEWGUJ,B,2,1,0,1,Pd,C24 H31 Cl2 N3 O1 Pd1,62,C C Cl Cl,C C Cl Cl,4,2
CHVICR,B,2,1,0,1,Cr,C15 H17 Cr1 N1 O6,40,C C C C C C,C C C C C C,2,0
CIBTUF,B,2,1,0,1,Ru,C30 H31 I1 N3 Ru1 1+,66,C C C C C C I N N,C C C C C C I N N,4,2
CIFCOM,B,2,1,0,1,Pd,C24 H24 Cl2 I1 N3 Pd1,55,C C Cl Cl,C C Cl Cl,4,2
CIFHAD,B,2,1,0,1,Pt,C26 H28 F3 N3 O6 Pt1 S1,68,C N O S,C N O S,4,2
CIFPUE,B,2,1,0,1,Ru,C37 H29 F3 N1 P1 Ru1,72,C C C C C C C P,C C C C C C C P,4,2
CIFQEP,B,2,1,0,1,Ru,C36 H31 N1 P1 Ru1 1+,70,C C C C C C C C P,C C C C C C C C P,4,2
CIFTER,B,2,1,0,1,Au,C11 H12 Au1 Cl1 N2,27,C Cl,C Cl,3,1
CIGCOK,B,2,1,0,1,Au,C10 H9 Au1 N2 O1,23,C C,C C,3,1
CIHYUP,B,2,1,0,1,Pt,C8 H22 N3 O4 Pt1 S1 1+,39,N N O S,N N O S,4,2
CIJQAO,B,2,1,1,0,Hg,C23 H39 B1 Hg1 N6 S3,73,C H S S,C S,2,2
CIJWUN,B,2,1,0,1,Cr,C24 H34 Cr1 N2 O6,67,C C C C N N,C C C C N N,2,0
CIMLUG,B,2,1,0,1,Ir,C19 H30 Cl1 Ir1 N2 O2,55,C C C Cl,C C C Cl,3,1
CIMMER,B,2,1,0,1,Pt,C31 H50 N2 Pt1,84,C C C C C,C C C C C,2,0
CIRXAC,B,2,1,0,1,Mo,C10 H8 Mo1 N2 O5,26,N N O O O O O,N N O O O O O,2,6
CISTAC,B,2,1,0,1,Ru,C38 H36 N2 O4 P2 Ru1 S1,84,N N O O P P,N N O O P P,4,2
CISTEG,B,2,1,0,1,Ru,C39 H36 N2 O3 P2 Ru1,83,N N O O P P,N N O O P P,4,2
CITFUI,B,2,1,0,1,Pd,C27 H34 Cl2 N4 Pd1,68,C C Cl Cl,C C Cl Cl,4,2
CIVLUP,B,2,1,0,1,Ni,C43 H29 N4 Ni1 P1,78,C C C C C C P,C C C C C C P,4,2
CIVMEA,B,2,1,0,1,Ni,C37 H25 N4 Ni1 P1,68,C C C C C C P,C C C C C C P,4,2
CIXZAM,B,2,1,0,1,Ni,C28 H40 Br2 N2 Ni1,73,Br Br N N,Br Br N N,4,2
CODZAX,B,2,1,0,1,Ru,C37 H31 N2 P1 Ru1 S2,74,C C C C C C P S,C C C C C C P S,6,2
COFTUN,B,2,1,0,1,Pd,C21 H31 I2 N3 O1 Pd1,59,C C I I,C C I I,4,2
COHMIW,B,2,1,0,1,Au,C8 H20 Au1 N4 O2 1+,35,C C,C C,3,1
COKVAC,B,2,1,0,1,Au,C15 H17 Au1 Cl1 N3,37,C Cl,C Cl,3,1
COKWOO,B,2,1,0,1,Ru,C24 H24 N5 O3 Ru1 1+,57,N N N N N O,N N N N N O,4,2
CORSEJ,B,2,1,0,1,Ru,C20 H24 Cl2 N2 O4 Ru1 S3,56,Cl Cl N O S S,Cl Cl N O S S,6,2
CORTIO,B,2,1,0,1,Pd,C23 H39 Cl2 N3 O2 Pd1,70,C C Cl Cl,C C Cl Cl,4,2
CORTOU,B,2,1,0,1,Pd,C23 H39 I2 N3 O2 Pd1,70,C C I I,C C I I,4,2
COSHEZ,B,2,1,0,1,Ru,C22 H26 Cl2 N2 O4 Ru1 S2,59,Cl Cl N O S S,Cl Cl N O S S,4,2
COSJEB,B,2,1,0,1,Pd,C27 H25 Cl2 N3 O1 Pd1,59,Cl Cl N N,Cl Cl N N,4,2
COYMAF,B,2,1,0,1,Ni,C36 H44 N4 Ni1,85,N N N N,N N N N,4,2
CPAZCO,B,2,1,0,1,Co,C17 H5 Co1 F10 N4,37,C C C C C N N,C C C C C N N,3,1
CPMNTI,B,2,1,0,1,Ti,C14 H10 N2 S2 Ti1,29,C C C C C C C C C C S S,C C C C C C C C C C S S,2,4
CPOCNB,B,2,1,0,1,Nb,C10 H10 Cl1 Nb1 O2,24,C C C C C C C C C C Cl O O,C C C C C C C C C C Cl O O,3,5
CUKROR,B,2,1,0,1,Pd,C26 H20 Cl2 N1 O2 P2 Pd1 1-,54,Cl Cl N P,Cl Cl N P,4,2
CUSBID,B,2,1,0,1,Mo,C20 H13 Mo1 N4 O1 S2 Se1 1-,42,N N O S S Se,N N O S S Se,6,4
CUSBOJ,B,2,1,0,1,Mo,C22 H13 Mo1 N4 O1 S2 Se1 1-,44,N N O S S Se,N N O S S Se,2,4
CZBACR,B,2,1,0,1,Cr,C19 H22 Cr1 N2 O4,48,C C C C C N,C C C C C N,2,0
DAHVIR,B,2,1,0,1,Ni,C14 H6 N8 Ni1,29,N N N N,N N N N,0,2
DAKFEC,B,2,1,0,1,W,C17 H15 N1 S2 W1,36,C C C C C C C C C C S S,C C C C C C C C C C S S,2,4
DAKGON,B,2,1,0,1,Ir,C30 H26 F2 Ir1 N7,66,C C C C N N,C C C C N N,1,3
DAKGUT,B,2,1,0,1,Ir,C32 H32 Ir1 N7,72,C C C C N N,C C C C N N,1,3
DALQAL,B,2,1,0,1,Ni,C28 H35 Br1 N2 Ni1,67,Br C C C C C C,Br C C C C C C,4,2
DANBEB,B,2,1,0,1,Pd,C34 H45 Cl2 N3 Pd1,85,C C Cl Cl,C C Cl Cl,4,2
DAPHAF,B,2,1,0,1,Au,C15 H21 Au1 Cl1 N5 S2,45,Cl N S S,Cl N S S,1,3
DAQCEF,B,2,1,0,1,V,C9 H8 N4 O5 V1 1-,27,N N O O O O O,N N O O O O O,1,5
DAQCIJ,B,2,1,0,1,V,C9 H7 N3 O5 V1 1-,25,N N O O O O O,N N O O O O O,1,5
