IDs,metal,motif_class,mechanism_class,oxidation_delta_ilp_minus_reference,full_connectivity_match,metal_connectivity_match,ilp_oxidation,reference_oxidation,ilp_ligands,reference_ligands
AGOGEJ,Pd,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CCN([C-2]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCN([C]c1ccccc1)CC || O=[C-]c1ccccc1 || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1
AGOQIX,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CS(C)=O || C[S-2](C)=O || NC(=O)NN=Cc1ccccc1 || [Cl-] || [Cl-],CS(C)=O || CS(C)=O || NC(=O)NN=Cc1ccccc1 || [Cl-] || [Cl-]
AHUCAI,Mn,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,1,3,CN1CCCN(C)CCN(C)CCN(C)CC1 || O=O,CN1CCCN(C)CCN(C)CCN(C)CC1 || [O-][O-]
AJEBAS,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC1=CC(C)=NCCN1 || C[S-2](C)=O || [Cl-] || [Cl-],CC1=CC(C)=NCCN1 || CS(C)=O || [Cl-] || [Cl-]
AKOBEI,Ir,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,Cc1cc(C)c(N(C)[C-2]N(C)c2c(C)cc(C)cc2C)c(C)c1 || [C-]#[O+] || [C-]#[O+] || [Cl-],Cc1cc(C)c(N(C)[C]N(C)c2c(C)cc(C)cc2C)c(C)c1 || [C-]#[O+] || [C-]#[O+] || [Cl-]
AKOBIM,Ir,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CC(C)c1cccc(C(C)C)c1N(C)[C-2]N(C)c1c(C(C)C)cccc1C(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-],CC(C)c1cccc(C(C)C)c1N(C)[C]N(C)c1c(C(C)C)cccc1C(C)C || [C-]#[O+] || [C-]#[O+] || [Cl-]
ALANRE,Re,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,C[C-2]NC(C)C(=O)OCC || C[C-]=O || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C[C-]=O || C[C]NC(C)C(=O)OCC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
ALAVUF,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CS(C)=O || C[S-2](C)=O || O || [Cl-] || c1ccc(-c2ccccn2)nc1,CS(C)=O || CS(C)=O || O || [Cl-] || c1ccc(-c2ccccn2)nc1
ALAWAM,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || CS(C)=O || CS(C)=O || CS(C)=O || [Cl-],CS(C)=O || CS(C)=O || CS(C)=O || [Cl-] || c1ccc(-c2ccccn2)nc1
ALAWEQ,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CO || CS(C)=O || C[S-2](C)=O || [Cl-] || c1ccc(-c2ccccn2)nc1,CO || CS(C)=O || CS(C)=O || [Cl-] || c1ccc(-c2ccccn2)nc1
ALILAI,Mo,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,6,4,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || [O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O,[O-2] || [O-]c1ccccc1C=NN=C([S-])NN=Cc1ccccc1O || c1cnc2c(c1)ccc1cccnc12
ALIPIU,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,4,1,1,6,2,C[S-2](=O)c1ccccc1C=NC1CCCCC1N=Cc1ccccc1[S-2](C)=O || [Cl-] || [Cl-],CS(=O)c1ccccc1C=NC1CCCCC1N=Cc1ccccc1S(C)=O || [Cl-] || [Cl-]
ALIQAN,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,4,1,1,6,2,C[S-2](=O)c1ccccc1C=NCCN=Cc1ccccc1[S-2](C)=O || O || [Cl-],CS(=O)c1ccccc1C=NCCN=Cc1ccccc1S(C)=O || O || [Cl-]
ALOXAB,Pt,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CSc1ccccc1[NH-] || Cc1ccc([N-]C=C2C=CC=C[N-]2)cc1,CSc1ccccc1[NH-] || Cc1ccc(N=Cc2ccccn2)cc1
AMINOA,Fe,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,[C-2](NCCCP(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1 || [C-]#[O+] || c1cc[cH-]c1,[C-]#[O+] || [C](NCCCP(c1ccccc1)c1ccccc1)[Si](c1ccccc1)(c1ccccc1)c1ccccc1 || c1cc[cH-]c1
AMIQOE,Cu,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,3,1,Cc1cc(C(C)(C)C)nn([B-2](n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-],Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S || [Cl-]
AMIRAR,Cu,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CC#N || Cc1cc(C(C)(C)C)nn([B-2](n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S,CC#N || Cc1cc(C(C)(C)C)nn(B(n2nc(C(C)(C)C)cc(C)c2=S)n2nc(C(C)(C)C)cc(C)c2=S)c1=S
ANIFEJ,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CS(C)=O || C[S-2](C)=O || Cc1c(N)c(=O)n(-c2ccccc2)n1C || [Cl-] || [Cl-],CS(C)=O || CS(C)=O || Cc1c(N)c(=O)n(-c2ccccc2)n1C || [Cl-] || [Cl-]
APIKER,Pt,C_N_donor_cyanide_or_isocyanide,coupled_ligand_charge_and_oxidation,2,1,1,4,2,Cc1cccc(C)c1N[C-2]NN=C(c1ccccc1)c1ccccc1 || [C-]#[N+]c1c(C)cccc1C || [Cl-] || [Cl-],Cc1cccc(C)c1N[C]NN=C(c1ccccc1)c1ccccc1 || [C-]#[N+]c1c(C)cccc1C || [Cl-] || [Cl-]
APOFIW,Pd,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,Cc1cccc(C)c1[N-]C1=C([N-]c2c(C)cccc2C)C2c3ccccc3C1c1ccccc12 || [Cl-] || [Cl-],Cc1cccc(C)c1N=C1C(=Nc2c(C)cccc2C)C2c3ccccc3C1c1ccccc12 || [Cl-] || [Cl-]
APUDUL,Au,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CC(C)(C)N([C-2]N(c1ccccc1)C(C)(C)C)c1ccccc1 || [Cl-],CC(C)(C)N([C]N(c1ccccc1)C(C)(C)C)c1ccccc1 || [Cl-]
APUFAT,Au,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,3,1,[C-2](N(c1ccccc1)C12CC3CC(CC(C3)C1)C2)N(c1ccccc1)C12CC3CC(CC(C3)C1)C2 || [Cl-],[C](N(c1ccccc1)C12CC3CC(CC(C3)C1)C2)N(c1ccccc1)C12CC3CC(CC(C3)C1)C2 || [Cl-]
APUFEX,Au,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,3,1,[C-2](N1CCCC1)N1CCCC1 || [Cl-],[C](N1CCCC1)N1CCCC1 || [Cl-]
APUYOB,Cu,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,Cc1cc(C)c(N2[C-2]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-],Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)Cc3cccc4cccc(c34)C2)c(C)c1 || [Br-]
AQAHEH,Pt,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=CCCC=CCC1 || C[S-2](C)=O || [CH3-],C1=CCCC=CCC1 || CS(C)=O || [CH3-]
AQAXIZ,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,COc1ccc(-c2c([O-])c(=O)c2=O)cc1 || CS(C)=O || CS(C)=O || C[S-2](C)=O || O || [Cl-],COc1ccc(-c2c([O-])c(=O)c2=O)cc1 || CS(C)=O || CS(C)=O || CS(C)=O || O || [Cl-]
AQAXOF,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,6,1,1,8,2,C[S-2](C)=O || C[S-2](C)=O || C[S-2](C)=O || O || O=c1c([O-])c(Nc2ccccc2)c1=O || [Cl-],CS(C)=O || CS(C)=O || CS(C)=O || O || O=c1c([O-])c(Nc2ccccc2)c1=O || [Cl-]
AQEXIE,Ni,other_C_bound_ligand,metal_disconnection_or_ligand_partition,0,1,1,2,2,CC(C)c1cccc(C(C)C)c1[N-]C=C1CCc2cccc(-c3ccccc3)c2C1=O || [CH3-] || c1ccncc1,CC(C)c1cccc(C(C)C)c1N=CC1=C([O-])c2c(cccc2-c2ccccc2)CC1 || [CH3-] || c1ccncc1
ASAVOH,Mn,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,3,5,CC1(C)[N-]C(=O)C(C)(C)C(=O)[N-]C(C)(C)C(=O)N=c2ccccc2=NC1=O || [O-2],CC1(C)[N-]C(=O)C(C)(C)C(=O)[N-]C(C)(C)C(=O)[N-]c2ccccc2[N-]C1=O || [O-2]
ASISIE,V,N_O_only_coordination,metal_disconnection_or_ligand_partition,0,1,1,5,5,C1=C[N-]c2c3c(ccc2=C1)=CC=C[N-]3 || O=C([O-])C(=O)[O-] || O=O || [O-2],O=C([O-])C(=O)[O-] || [O-2] || [O-][O-] || c1cnc2c(c1)ccc1cccnc12
ATODEU,Pt,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CCCCCCC1(CCCCCC)C2=CC=C[N-]C2=C2[N-]C=CC=C21 || [Cl-] || [Cl-],CCCCCCC1(CCCCCC)c2cccnc2-c2ncccc21 || [Cl-] || [Cl-]
ATODIY,Pd,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CCCCCCC1(CCCCCC)C2=CC=C[N-]C2=C2[N-]C=CC=C21 || [Cl-] || [Cl-],CCCCCCC1(CCCCCC)c2cccnc2-c2ncccc21 || [Cl-] || [Cl-]
AVANAN,Au,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)C2)c(C)c1 || Cc1cccc(C)c1N[C-2]N1CCCCC1,Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)C=C2)c(C)c1 || Cc1cccc(C)c1N[C]N1CCCCC1
AVOVUC,Mo,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-4,1,1,2,6,CCCP(=O)(CCC)CCC || O=O || O=O || [O-2],CCCP(=O)(CCC)CCC || [O-2] || [O-][O-] || [O-][O-]
AXUFOO,Zn,halide_containing_no_M_C,metal_disconnection_or_ligand_partition,0,1,1,2,2,[Cl-] || [Cl-] || [O-]c1ccc2ccccc2c1C=[NH+]Cc1ccccc1 || [O-]c1ccc2ccccc2c1C=[NH+]Cc1ccccc1,O=C1C=Cc2ccccc2C1=CNCc1ccccc1 || O=C1C=Cc2ccccc2C1=CNCc1ccccc1 || [Cl-] || [Cl-]
AXUFUU,Zn,halide_containing_no_M_C,metal_disconnection_or_ligand_partition,0,1,1,2,2,[Br-] || [Br-] || [O-]c1ccc2ccccc2c1C=[NH+]Cc1ccccc1 || [O-]c1ccc2ccccc2c1C=[NH+]Cc1ccccc1,O=C1C=Cc2ccccc2C1=CNCc1ccccc1 || O=C1C=Cc2ccccc2C1=CNCc1ccccc1 || [Br-] || [Br-]
AXUGAB,Zn,halide_containing_no_M_C,metal_disconnection_or_ligand_partition,0,1,1,2,2,[I-] || [I-] || [O-]c1ccc2ccccc2c1C=[NH+]Cc1ccccc1 || [O-]c1ccc2ccccc2c1C=[NH+]Cc1ccccc1,O=C1C=Cc2ccccc2C1=CNCc1ccccc1 || O=C1C=Cc2ccccc2C1=CNCc1ccccc1 || [I-] || [I-]
AYOPAF,Ru,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || [C-]#[O+] || [Cl-] || c1ccc(Nc2ccccn2)nc1,[C-]#[O+] || [Cl-] || c1ccc(-c2ccccn2)nc1 || c1ccc(Nc2ccccn2)nc1
AYUNIT,Re,carbonyl_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2cc[n-]c3c4[n-]ccc5cccc(c(c1)c23)c54,CNC || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1cc2ccnc3c4nccc5cccc(c(c1)c23)c54
AZEDEP,Pd,halide_containing_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC(C)CC1Cc2ccccc2C(=C2[N-]C(CC(C)C)Cc3ccccc32)[N-]1 || [Cl-] || [Cl-],CC(C)CC1Cc2ccccc2C(C2=NC(CC(C)C)Cc3ccccc32)=N1 || [Cl-] || [Cl-]
AZEQUR,Ru,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C[N-]N=Cc2ccccn2)C=C1 || Cc1c(C)c(C)c(C)c(C)c1C || [Cl-],C(=NN=Cc1ccccn1)c1ccccn1 || Cc1c(C)c(C)c(C)c(C)c1C || [Cl-]
BAQVEW,V,N_O_only_coordination,coupled_ligand_charge_and_oxidation,-2,1,1,3,5,O=C(Cc1ccccc1)N[O-] || O=O || [O-2] || c1cnc2c(c1)ccc1cccnc12,O=C(Cc1ccccc1)N[O-] || [O-2] || [O-][O-] || c1cnc2c(c1)ccc1cccnc12
BASLUF,Ru,N_O_only_coordination,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || Cc1cc(C)c(N=Cc2ccccc2[O-])c(C)c1 || c1ccc(-c2ccccn2)nc1,Cc1cc(C)c(N=Cc2ccccc2[O-])c(C)c1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1
BASWEZ,Au,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,[C-2]1CN(Cc2ccccc2)CN1c1ccccc1-c1ccccc1 || [Cl-],[C]1CN(Cc2ccccc2)CN1c1ccccc1-c1ccccc1 || [Cl-]
BASWID,Au,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,COc1ccc(N2[C-2]CN(Cc3ccccc3)C2)cc1 || [Cl-],COc1ccc(N2[C]CN(Cc3ccccc3)C2)cc1 || [Cl-]
BAWJOB,Ru,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,4,1,1,6,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || Cc1c[c-]c(N2C=CN(c3ccc(C)cc3)C2)cc1,Cc1c[c-]c(N2[C]N(c3ccc(C)cc3)C=C2)cc1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1
BAWJUH,Ru,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || CN1C=CN(c2[c-]cc(Br)cc2)C1 || c1ccc(-c2ccccn2)nc1,CN1[C]N(c2[c-]cc(Br)cc2)C=C1 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1
BAWPUM,Ru,N_O_only_coordination,coupled_ligand_charge_and_oxidation,2,1,1,4,2,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || O=C1C=Cc2cccc3ccc([O-])c1c23 || c1ccc(-c2ccccn2)nc1,O=C1C=Cc2cccc3ccc([O-])c1c23 || c1ccc(-c2ccccn2)nc1 || c1ccc(-c2ccccn2)nc1
BAXFIQ,Pt,C_N_donor_cyanide_or_isocyanide,unresolved_positional_or_equivalence,0,1,1,2,2,CP(C)C || [C-]#[N+]C(C)(C)C || c1ccc([Si-]c2ccccc2)cc1 || c1ccc([Si-]c2ccccc2)cc1,CP(C)C || [C-]#[N+]C(C)(C)C || c1ccc([SiH-]c2ccccc2)cc1 || c1ccc([SiH-]c2ccccc2)cc1
BAYLOE,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,4,1,1,6,2,C[S-2](C)=O || C[S-2](C)=O || [Cl-] || [Cl-] || c1ccc2[nH]c(-c3n[nH]c4ncccc34)nc2c1,CS(C)=O || CS(C)=O || [Cl-] || [Cl-] || c1ccc2[nH]c(-c3n[nH]c4ncccc34)nc2c1
BAYLUK,Ru,S_Se_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,Brc1cnc2n[n-]c(-c3nc4ccccc4[nH]3)c2c1 || CS(C)=O || CS(C)=O || C[S-2](C)=O || [Cl-],Brc1cnc2n[n-]c(-c3nc4ccccc4[nH]3)c2c1 || CS(C)=O || CS(C)=O || CS(C)=O || [Cl-]
BEFFEY,Au,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CC(=O)[CH-]C(C)=O || CCN([C-2]NC(C)(C)C)CC,CC(=O)[CH-]C(C)=O || CCN([C]NC(C)(C)C)CC
BEFMUX,Ti,heterocyclic_carbene_like,metal_disconnection_or_ligand_partition,0,1,1,4,4,C1CCOC1 || C[N-]C || [Cl-] || [O-]c1ccccc1CN1[C-]=[N+](Cc2ccccc2[O-])C(c2ccccc2)C1c1ccccc1,C1CCOC1 || C[N-]C || [Cl-] || [O-]c1ccccc1CN1[C]N(Cc2ccccc2[O-])C(c2ccccc2)C1c1ccccc1
BEKDUS,Ni,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC(C)[P-2](NCC[S-])C(C)C || [CH2-]CNP(C(C)C)C(C)C,CC(C)P(NCC[S-])C(C)C || [CH2-]CNP(C(C)C)C(C)C
BEKFAA,Ni,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC(C)[P-2](OCC[S-])C(C)C || [CH2-]COP(C(C)C)C(C)C,CC(C)P(OCC[S-])C(C)C || [CH2-]COP(C(C)C)C(C)C
BELXEV,Pt,C_N_donor_cyanide_or_isocyanide,coupled_ligand_charge_and_oxidation,2,1,1,4,2,[CH-2]N(C)C || [Cl-] || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[CH]N(C)C || [Cl-] || [Cl-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1
BENQIW,W,carbonyl_like,metal_disconnection_or_ligand_partition,0,1,1,0,0,O=[P-]1Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [O-]p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1
BENQOC,W,carbonyl_like,metal_disconnection_or_ligand_partition,0,1,1,0,0,O=[P-]1Oc2ccccc2-c2ccccc2O1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [O-]p1oc2ccccc2c2ccccc2o1
BEXJOF,Rh,haptic_or_adjacent_multi_C,metal_disconnection_or_ligand_partition,0,1,1,1,1,C1=CCCC=CCC1 || Cc1c(C)[n+](C)c([CH-]c2ccccc2)n1C || [Cl-],C1=CCCC=CCC1 || CC1=C(C)N(C)C(=Cc2ccccc2)N1C || [Cl-]
BEXJUL,Rh,haptic_or_adjacent_multi_C,metal_disconnection_or_ligand_partition,0,1,1,1,1,C1=CCCC=CCC1 || [CH2-]c1n(C)c(C)c(C)[n+]1C || [Cl-],C1=CCCC=CCC1 || C=C1N(C)C(C)=C(C)N1C || [Cl-]
BEZNID,W,haptic_or_adjacent_multi_C,coupled_ligand_charge_and_oxidation,2,1,1,2,0,C=CCN[C-2]c1ccc(C)cc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],C=CCN[C]c1ccc(C)cc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+]
BICRIQ,Pd,C_N_donor_cyanide_or_isocyanide,coupled_ligand_charge_and_oxidation,2,1,1,4,2,[C-2](NC1CCCCC1)n1ncc2ccccc21 || [C-]#[N+]C1CCCCC1 || [Cl-] || [Cl-],[C-]#[N+]C1CCCCC1 || [C](NC1CCCCC1)n1ncc2ccccc21 || [Cl-] || [Cl-]
BICZUI,Au,other_C_bound_ligand,coupled_ligand_charge_and_oxidation,2,1,1,3,1,CN(C)[C-2]c1ccccc1 || [Cl-],CN(C)[C]c1ccccc1 || [Cl-]
BIHCUR,Ti,haptic_or_adjacent_multi_C,unresolved_positional_or_equivalence,0,1,1,4,4,C[N-]C || Cc1ccc(C)c2c(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3[O-])[c-](C)c(C)c12 || [Cl-],C[N-]C || Cc1ccc(C)c2c1c(C)c(C)[c-]2-c1cc(C(C)(C)C)cc(C(C)(C)C)c1[O-] || [Cl-]
BISHUJ,W,carbonyl_like,metal_disconnection_or_ligand_partition,0,1,1,0,0,O=[P-](c1ccccc1)c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [O-]P(c1ccccc1)c1ccccc1
BOBNOX,Fe,P_donor_no_M_C,coupled_ligand_charge_and_oxidation,2,1,1,4,2,CC([N-]c1c(C(C)C)cccc1C(C)C)=C1C=CC=C(OP(C(C)(C)C)C(C)(C)C)[N-]1 || [Cl-] || [Cl-],CC(=Nc1c(C(C)C)cccc1C(C)C)c1cccc(OP(C(C)(C)C)C(C)(C)C)n1 || [Cl-] || [Cl-]
BOFFAG,Pd,N_O_only_coordination,metal_disconnection_or_ligand_partition,0,1,1,2,2,Cc1cccc(N=C(N=c2cccc(C)[n-]2)Nc2ccc(Cl)cc2)n1 || Cc1cccc(N=C([N-]c2cccc(C)n2)Nc2ccc(Cl)cc2)n1,Cc1cccc(N=C([N-]c2cccc(C)n2)Nc2ccc(Cl)cc2)n1 || Cc1cccc(N=C([N-]c2cccc(C)n2)Nc2ccc(Cl)cc2)n1
BOFFEK,Pd,N_O_only_coordination,metal_disconnection_or_ligand_partition,0,1,1,2,2,Cc1cccc(N=C(N=c2cccc(C)[n-]2)Nc2ccc(F)cc2)n1 || Cc1cccc(N=C([N-]c2cccc(C)n2)Nc2ccc(F)cc2)n1,Cc1cccc(N=C([N-]c2cccc(C)n2)Nc2ccc(F)cc2)n1 || Cc1cccc(N=C([N-]c2cccc(C)n2)Nc2ccc(F)cc2)n1
BOHDEI,Ag,heterocyclic_carbene_like,coupled_ligand_charge_and_oxidation,2,1,1,3,1,Cc1cc(C)c(N2[C-2]N(c3c(C)cc(C)cc3C)CCCC2)c(C)c1 || [Br-],Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)CCCC2)c(C)c1 || [Br-]
