IDs,in_graph_consensus,treatment,status,both_parsed,ligand_canonical,ligand_equiv,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,neighbors_ilp,neighbors_reference,residual_class,coordination_delta,raw_ml_count,reference_ml_count,metal,missing_reference_neighbors,extra_output_neighbors
PEBXAV,1,full,ok,1,1,1,0,1,0,4,4,Cl Cl Cl Cl O,Cl Cl Cl Cl O O,fewer_output_metal_contacts,-1,6,6,Ti,O,
PUJNIR,1,full,ilp_failed,0,0,0,0,0,0,,1,,C C N N,fewer_output_metal_contacts,-4,2,4,Cu,C C N N,
PUXSUX,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
QEJHUJ,1,full,ok,1,1,1,0,1,0,1,1,C N N,C C N N,fewer_output_metal_contacts,-1,4,4,Cu,C,
QOCJAU,1,full,ok,1,1,1,0,1,0,1,1,C C C C C C P,C C C C C C C P,fewer_output_metal_contacts,-1,8,8,Co,C,
QOPZUR,1,full,ok,1,1,1,0,1,0,1,1,C Cl,C C Cl,fewer_output_metal_contacts,-1,3,3,Au,C,
RINGON,1,full,ok,1,1,1,0,1,0,1,1,C C P P,C C C P P,fewer_output_metal_contacts,-1,5,5,Ir,C,
ROBLOL,1,full,ok,1,0,0,0,1,0,1,1,C C C,C C C C C,fewer_output_metal_contacts,-2,5,5,Cu,C C,
ROBLUR,1,full,ok,1,0,0,0,1,0,1,1,C C C,C C C C C,fewer_output_metal_contacts,-2,5,5,Cu,C C,
ROFSAG,1,full,ok,1,1,1,0,1,0,0,0,C C C P P,C C C C P P,fewer_output_metal_contacts,-1,6,6,Fe,C,
ROYFUI,1,full,ok,1,1,1,0,1,0,1,1,C P,C C P,fewer_output_metal_contacts,-1,3,3,Au,C,
SAFMUK,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pd,C,
SILVUE,1,full,ok,1,1,1,0,1,0,4,4,C Cl Cl N P P,C C Cl Cl N P P,fewer_output_metal_contacts,-1,7,7,Mo,C,
SILZOC,1,full,ok,1,1,1,0,1,0,0,0,C C C P P,C C C C P P,fewer_output_metal_contacts,-1,6,6,Cr,C,
TAWHAB,1,full,ok,1,1,1,0,1,0,0,0,C C C C C C,C C C C C C C,fewer_output_metal_contacts,-1,7,7,W,C,
TAWHEF,1,full,ok,1,1,1,0,1,0,0,0,C C C C C C,C C C C C C C,fewer_output_metal_contacts,-1,7,7,Mo,C,
TAWHIJ,1,full,ok,1,1,1,0,1,0,0,0,C C C C C C,C C C C C C C,fewer_output_metal_contacts,-1,7,7,Cr,C,
TEXWEY,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pd,C,
UXAJOT,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
UYEQAR,1,full,ok,1,1,1,0,1,0,0,0,C C N P,C C C N P,fewer_output_metal_contacts,-1,5,5,Ni,C,
UYEQOF,1,full,ok,1,1,1,0,1,0,0,0,C C N P,C C C N P,fewer_output_metal_contacts,-1,5,5,Ni,C,
VIRXAW,1,full,ok,1,0,0,1,0,0,4,2,N N P P,N N P P,same_shell_graph_difference,0,4,4,Pt,,
WEPVOC,1,full,ok,1,1,1,0,1,0,0,0,C C P,C C C C P,fewer_output_metal_contacts,-2,5,5,Ni,C C,
XAGNOI,1,full,ok,1,0,0,0,1,0,1,1,Br C C,Br C C C C,fewer_output_metal_contacts,-2,5,5,Cu,C C,
XAGNUO,1,full,ok,1,0,0,0,1,0,1,1,C C I,C C C C I,fewer_output_metal_contacts,-2,5,5,Cu,C C,
XARRAK,1,full,ok,1,1,1,0,1,0,0,0,C C C C C,C C C C C C,fewer_output_metal_contacts,-1,6,6,Fe,C,
XARREO,1,full,ok,1,1,1,0,1,0,0,0,C C C C P,C C C C C P,fewer_output_metal_contacts,-1,6,6,Fe,C,
XARRIS,1,full,ok,1,1,1,0,1,0,0,0,C C C P P,C C C C P P,fewer_output_metal_contacts,-1,6,6,Fe,C,
XECSON,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Ni,C,
XEMYAR,1,full,ok,1,1,1,0,1,0,1,1,C Cl Cl,C C Cl Cl,fewer_output_metal_contacts,-1,4,4,Cu,C,
XEPVAP,1,full,ok,1,1,1,0,1,0,6,6,Cl Cl O O O,Cl Cl O O O O,fewer_output_metal_contacts,-1,6,6,Mo,O,
XIGHOK,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
XIKNOV,1,full,ok,1,1,1,0,1,0,0,0,C P P,C C P P,fewer_output_metal_contacts,-1,4,4,Pt,C,
YAMGEY,1,full,ok,1,1,1,0,1,0,1,1,C C C C O,C C C C O O,fewer_output_metal_contacts,-1,6,6,Rh,O,
YAVCEE,1,full,ok,0,0,0,0,0,0,,2,,Br Br C C,fewer_output_metal_contacts,-4,4,4,Pd,Br Br C C,
YOKZAC,1,full,ok,1,1,1,1,1,0,3,3,N N N O O O,N N N O O O,same_shell_graph_difference,0,6,6,Co,,
YULBOY,1,full,ok,1,0,0,0,0,0,4,0,B B B B,B B B B C C C C,fewer_output_metal_contacts,-4,8,8,Pt,C C C C,
ZAXXEB,1,full,ok,1,1,1,0,1,0,2,2,C Cl Cl Cl,C C Cl Cl Cl,fewer_output_metal_contacts,-1,5,5,Pt,C,
