IDs,charge,in_graph_consensus,status,validated,extraction_method,n_atoms,n_edges,n_heavy_edges,edges_0,error
ABANUN,0,1,ok,1,fast_binary,24,24,13,0-1;0-2;0-3;0-4;4-5;4-9;4-13;5-6;5-7;5-8;9-10;9-11;9-12;13-14;13-22;14-15;14-16;16-17;16-18;18-19;18-20;20-21;20-22;22-23,
ABAPAV,0,1,ok,1,fast_binary,33,32,11,0-1;0-2;1-3;1-13;1-23;3-4;3-5;3-9;5-6;5-7;5-8;9-10;9-11;9-12;13-14;13-15;13-19;15-16;15-17;15-18;19-20;19-21;19-22;23-24;23-25;23-29;25-26;25-27;25-28;29-30;29-31;29-32,
ABASEC,1,1,ok,1,fast_binary,47,49,22,0-3;0-6;0-17;0-21;1-3;2-22;3-4;4-5;4-23;5-6;5-27;5-31;6-7;6-8;8-9;8-10;8-11;11-12;11-13;11-14;14-15;14-16;14-17;17-18;17-19;19-20;19-39;19-43;20-21;20-35;21-22;23-24;23-25;23-26;27-28;27-29;27-30;31-32;31-33;31-34;35-36;35-37;35-38;39-40;39-41;39-42;43-44;43-45;43-46,
ABATED,0,1,ok,1,fast_binary,64,72,39,0-24;0-26;0-38;0-42;0-45;0-50;0-52;0-55;1-2;1-17;1-54;3-4;3-5;3-6;3-17;7-8;7-38;7-57;8-18;8-32;9-10;9-11;9-12;9-44;13-14;13-15;13-16;13-54;17-38;18-19;18-39;20-21;20-36;20-58;22-23;22-39;22-57;24-25;24-26;24-55;26-27;26-42;27-28;27-29;27-30;31-41;31-46;31-58;32-33;32-34;32-35;36-37;36-44;39-40;41-44;41-45;42-43;42-50;45-54;46-47;46-48;46-49;50-51;50-52;52-53;52-55;55-56;57-60;58-59;60-61;60-62;60-63,
ABAVAA,0,1,ok,1,fast_binary,54,55,25,0-1;0-3;1-2;1-4;1-14;4-5;4-8;4-9;5-6;5-10;6-7;6-11;7-8;7-12;8-13;9-24;9-25;9-26;10-27;10-28;10-29;11-30;11-31;11-32;12-33;12-34;12-35;13-36;13-37;13-38;14-15;14-18;14-19;15-16;15-20;16-17;16-21;17-18;17-22;18-23;19-39;19-40;19-41;20-42;20-43;20-44;21-45;21-46;21-47;22-48;22-49;22-50;23-51;23-52;23-53,
ABAXIK,1,1,ok,1,fast_binary,39,41,20,0-1;1-4;1-5;1-6;1-7;1-8;2-7;3-8;4-9;4-14;4-15;5-10;5-11;5-16;6-12;6-13;6-17;9-10;9-18;9-19;10-20;10-21;11-12;11-22;11-23;12-24;12-25;13-14;13-26;13-27;14-28;14-29;15-30;15-31;15-32;16-33;16-34;16-35;17-36;17-37;17-38,
ABAZIO,0,1,ok,1,fast_binary,76,78,38,0-1;0-47;0-60;0-70;1-2;1-21;1-34;2-3;2-10;3-4;3-5;5-6;5-7;7-8;7-12;8-9;8-10;10-11;12-13;12-17;13-14;13-15;13-16;17-18;17-19;17-20;21-22;21-26;21-30;22-23;22-24;22-25;26-27;26-28;26-29;30-31;30-32;30-33;34-35;34-39;34-43;35-36;35-37;35-38;39-40;39-41;39-42;43-44;43-45;43-46;47-48;47-55;48-49;48-57;49-50;49-51;51-52;51-53;53-54;53-55;55-56;57-58;57-59;57-60;60-61;60-65;61-62;61-63;61-64;65-66;65-67;65-68;69-70;69-71;69-72;72-73;72-74;72-75,
ABEFUI,0,1,ok,1,fast_binary,62,66,34,0-1;0-2;0-3;0-4;0-5;0-6;3-22;3-25;4-26;4-29;5-7;5-10;6-9;6-16;7-8;7-30;7-31;8-9;8-32;8-33;9-34;9-35;10-11;10-15;11-12;11-36;12-13;12-37;13-14;13-38;14-15;14-39;15-40;16-17;16-21;17-18;17-41;18-19;18-42;19-20;19-43;20-21;20-44;21-45;22-23;22-46;22-47;23-24;23-48;23-49;24-25;24-50;24-51;25-52;25-53;26-27;26-54;26-55;27-28;27-56;27-57;28-29;28-58;28-59;29-60;29-61,
ABEGOG,0,1,ok,1,fast_binary,44,49,33,0-1;0-3;0-21;0-24;0-26;1-20;2-20;3-5;3-16;4-6;4-8;4-16;5-6;5-17;6-7;8-9;8-10;10-11;10-12;12-13;12-14;14-15;14-16;17-18;17-19;17-20;21-22;21-23;24-43;25-43;26-28;26-39;27-29;27-31;27-39;28-29;28-40;29-30;31-32;31-33;33-34;33-35;35-36;35-37;37-38;37-39;40-41;40-42;40-43,
ABEPAA,1,1,ok,1,fast_binary,64,65,27,0-1;0-2;0-3;0-7;2-22;2-29;2-36;3-43;3-50;3-57;4-7;4-8;4-18;5-6;5-7;5-9;8-9;8-16;9-10;10-11;10-12;12-13;12-14;14-15;14-16;16-17;18-19;18-20;18-21;22-23;22-24;22-25;25-26;25-27;25-28;29-30;29-31;29-32;32-33;32-34;32-35;36-37;36-38;36-39;39-40;39-41;39-42;43-44;43-45;43-46;46-47;46-48;46-49;50-51;50-52;50-53;53-54;53-55;53-56;57-58;57-59;57-60;60-61;60-62;60-63,
ABEPEE,1,1,ok,1,fast_binary,64,65,27,0-1;0-2;0-3;0-7;2-22;2-29;2-36;3-43;3-50;3-57;4-7;4-8;4-18;5-6;5-7;5-9;8-9;8-16;9-10;10-11;10-12;12-13;12-14;14-15;14-16;16-17;18-19;18-20;18-21;22-23;22-24;22-25;25-26;25-27;25-28;29-30;29-31;29-32;32-33;32-34;32-35;36-37;36-38;36-39;39-40;39-41;39-42;43-44;43-45;43-46;46-47;46-48;46-49;50-51;50-52;50-53;53-54;53-55;53-56;57-58;57-59;57-60;60-61;60-62;60-63,
ABEWOT,1,1,ok,1,fast_binary,84,95,51,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;1-16;1-21;1-28;2-22;2-27;2-34;4-5;4-9;4-10;5-6;5-11;6-7;6-12;7-8;7-13;8-9;8-14;9-15;10-40;10-41;10-42;11-43;11-44;11-45;12-46;12-47;12-48;13-49;13-50;13-51;14-52;14-53;14-54;15-55;15-56;15-57;16-17;16-27;16-58;17-18;17-19;18-59;18-60;18-61;19-20;19-21;20-62;20-63;20-64;21-22;21-65;22-23;22-66;23-24;23-25;24-67;24-68;24-69;25-26;25-27;26-70;26-71;26-72;27-73;28-29;28-33;29-30;29-74;30-31;30-75;31-32;31-76;32-33;32-77;33-78;34-35;34-39;35-36;35-79;36-37;36-80;37-38;37-81;38-39;38-82;39-83,
ABEWUZ,1,1,ok,1,fast_binary,84,95,51,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;1-17;1-22;1-28;2-16;2-27;2-34;4-5;4-9;4-10;5-6;5-11;6-7;6-12;7-8;7-13;8-9;8-14;9-15;10-40;10-41;10-42;11-43;11-44;11-45;12-46;12-47;12-48;13-49;13-50;13-51;14-52;14-53;14-54;15-55;15-56;15-57;16-17;16-23;16-58;17-18;17-59;18-19;18-20;19-60;19-61;19-62;20-21;20-22;21-63;21-64;21-65;22-23;22-66;23-24;23-25;24-67;24-68;24-69;25-26;25-27;26-70;26-71;26-72;27-73;28-29;28-33;29-30;29-74;30-31;30-75;31-32;31-76;32-33;32-77;33-78;34-35;34-39;35-36;35-79;36-37;36-80;37-38;37-81;38-39;38-82;39-83,
ABEXAG,0,1,ok,1,fast_binary,59,66,35,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-9;1-16;1-21;1-22;4-5;4-9;4-10;5-6;5-11;6-7;6-12;7-8;7-13;8-9;8-14;9-15;10-28;10-29;10-30;11-31;11-32;11-33;12-34;12-35;12-36;13-37;13-38;13-39;14-40;14-41;14-42;15-43;15-44;15-45;16-17;16-46;16-47;17-18;17-19;18-48;18-49;19-20;19-21;20-50;20-51;20-52;21-53;22-23;22-27;23-24;23-54;24-25;24-55;25-26;25-56;26-27;26-57;27-58,
ABEYUD,1,1,ok,1,fast_binary,44,46,28,0-4;0-8;0-10;0-12;0-13;0-14;1-12;2-13;3-14;4-15;4-23;5-6;5-7;5-23;8-24;8-26;9-24;9-28;9-30;10-34;10-36;11-34;11-38;11-40;15-16;15-17;17-18;17-19;19-20;19-21;21-22;21-23;24-25;26-27;26-28;28-29;30-31;30-32;30-33;34-35;36-37;36-38;38-39;40-41;40-42;40-43,
ABEZAJ,0,1,ok,1,fast_binary,74,78,37,0-18;0-48;0-69;0-70;1-2;1-3;1-15;1-70;3-4;3-5;3-6;6-7;6-8;6-9;9-10;9-11;9-12;12-13;12-14;12-15;15-16;15-17;18-19;18-46;19-40;19-71;20-21;20-27;20-71;21-22;21-36;22-23;22-24;24-25;24-32;25-26;25-27;27-28;28-29;28-30;28-31;32-33;32-34;32-35;36-37;36-38;36-39;40-41;40-42;42-43;42-44;44-45;44-46;46-47;48-49;48-50;48-51;52-53;52-54;52-55;52-69;56-57;56-58;56-59;56-69;60-61;60-62;60-63;60-72;64-65;64-66;64-67;64-72;68-73;69-73;70-73;71-73;72-73,
ABEZEO,1,1,ok,1,fast_binary,44,46,28,0-4;0-6;0-8;0-12;0-13;0-14;1-12;2-13;3-14;4-15;4-17;5-15;5-19;5-21;6-25;6-27;7-25;7-29;7-31;8-35;8-42;9-10;9-11;9-41;15-16;17-18;17-19;19-20;21-22;21-23;21-24;25-26;27-28;27-29;29-30;31-32;31-33;31-34;35-36;35-37;37-38;37-39;39-40;39-41;41-42;42-43,
ABEZIS,1,1,ok,1,fast_binary,44,46,28,0-4;0-6;0-8;0-12;0-13;0-14;1-12;2-13;3-14;4-15;4-17;5-15;5-19;5-21;6-25;6-27;7-25;7-29;7-31;8-35;8-42;9-10;9-11;9-41;15-16;17-18;17-19;19-20;21-22;21-23;21-24;25-26;27-28;27-29;29-30;31-32;31-33;31-34;35-36;35-37;37-38;37-39;39-40;39-41;41-42;42-43,
ABICIY,1,1,ok,1,fast_binary,63,70,37,0-1;0-12;0-22;0-23;0-26;0-27;1-2;1-7;2-3;2-4;2-5;3-30;3-31;3-32;4-33;4-34;4-35;5-6;5-36;5-37;6-7;7-8;8-9;8-12;9-10;9-38;10-11;10-39;11-12;11-13;13-14;13-18;14-15;14-19;15-16;15-40;16-17;16-20;17-18;17-41;18-21;19-42;19-43;19-44;20-45;20-46;20-47;21-48;21-49;21-50;22-23;22-29;22-51;23-24;23-52;24-25;24-53;24-54;25-26;25-55;25-56;26-27;26-57;27-28;27-58;28-29;28-59;28-60;29-61;29-62,
ABICUK,0,1,ok,1,fast_binary,46,49,28,0-1;0-2;0-4;0-15;2-3;4-5;4-8;5-6;5-16;6-7;6-25;7-8;7-26;8-9;9-10;9-15;10-11;11-12;11-27;11-28;12-13;12-14;12-15;13-29;13-30;13-31;14-32;14-33;14-34;16-17;16-21;17-18;17-22;18-19;18-35;19-20;19-23;20-21;20-36;21-24;22-37;22-38;22-39;23-40;23-41;23-42;24-43;24-44;24-45,
ABIDIB,0,1,ok,1,fast_binary,73,74,30,0-1;0-3;0-37;0-39;1-32;2-32;3-4;3-5;3-22;5-6;5-7;5-19;7-8;7-9;7-10;10-11;10-12;10-13;13-14;13-15;13-16;16-17;16-18;16-19;19-20;19-21;22-23;22-24;22-28;24-25;24-26;24-27;28-29;28-30;28-31;32-33;33-34;33-35;33-36;37-68;38-68;39-40;39-41;39-58;41-42;41-43;41-55;43-44;43-45;43-46;46-47;46-48;46-49;49-50;49-51;49-52;52-53;52-54;52-55;55-56;55-57;58-59;58-60;58-64;60-61;60-62;60-63;64-65;64-66;64-67;68-69;69-70;69-71;69-72,
ABIFEZ,0,1,ok,1,fast_binary,77,76,28,0-1;0-3;0-39;0-41;1-5;2-5;3-4;3-19;3-29;5-6;6-7;6-11;6-15;7-8;7-9;7-10;11-12;11-13;11-14;15-16;15-17;15-18;19-20;19-21;19-25;21-22;21-23;21-24;25-26;25-27;25-28;29-30;29-31;29-35;31-32;31-33;31-34;35-36;35-37;35-38;39-43;40-43;41-42;41-57;41-67;43-44;44-45;44-49;44-53;45-46;45-47;45-48;49-50;49-51;49-52;53-54;53-55;53-56;57-58;57-59;57-63;59-60;59-61;59-62;63-64;63-65;63-66;67-68;67-69;67-73;69-70;69-71;69-72;73-74;73-75;73-76,
ABIKAY,0,1,ok,1,fast_binary,31,33,20,0-5;0-6;0-7;0-15;0-16;0-17;1-7;1-8;1-9;1-10;2-15;3-16;4-17;5-10;5-14;6-7;6-18;6-19;7-20;8-21;8-22;8-23;9-24;9-25;9-26;10-11;11-12;11-27;12-13;12-28;13-14;13-29;14-30,
ABIPAE,0,1,ok,1,fast_binary,57,62,36,0-4;0-5;0-6;0-54;0-55;0-56;1-54;2-55;3-56;4-8;4-16;5-17;5-20;5-29;6-31;6-39;6-42;7-45;7-52;8-9;8-10;10-11;10-12;12-13;12-14;14-15;14-16;16-17;17-18;17-19;20-21;20-22;20-23;23-24;23-25;23-26;26-27;26-28;26-29;29-30;29-31;31-32;31-33;33-34;33-35;33-36;36-37;36-38;36-39;39-40;39-41;42-43;42-44;42-45;45-46;46-47;46-48;48-49;48-50;50-51;50-52;52-53,
ABIQIN,0,1,ok,1,fast_binary,38,40,22,0-1;0-2;1-3;1-15;1-22;1-35;1-36;2-4;2-8;4-5;4-6;4-7;8-9;8-10;10-11;10-15;11-12;11-13;11-14;15-16;16-17;16-18;16-19;19-20;19-21;19-22;22-23;23-24;23-28;24-25;24-26;24-27;28-29;28-30;30-31;30-35;31-32;31-33;31-34;36-37,
ABIQOR,0,1,ok,1,fast_binary,84,87,37,0-1;0-2;0-3;0-4;0-32;0-33;1-8;2-5;2-6;2-14;3-6;3-7;3-18;4-5;4-7;4-22;5-34;5-35;6-36;6-37;7-38;7-39;8-9;8-13;9-10;9-26;10-11;10-40;11-12;11-41;12-13;12-42;13-29;14-15;14-16;14-17;15-43;15-44;15-45;16-46;16-47;16-48;17-49;17-50;17-51;18-19;18-20;18-21;19-52;19-53;19-54;20-55;20-56;20-57;21-58;21-59;21-60;22-23;22-24;22-25;23-61;23-62;23-63;24-64;24-65;24-66;25-67;25-68;25-69;26-27;26-28;26-70;27-71;27-72;27-73;28-74;28-75;28-76;29-30;29-31;29-77;30-78;30-79;30-80;31-81;31-82;31-83,
ABIQUX,0,1,ok,1,fast_binary,67,71,33,0-1;0-2;0-3;0-4;0-15;0-22;1-8;2-5;2-6;2-12;3-6;3-7;3-13;4-5;4-7;4-14;5-33;5-34;6-35;6-36;7-37;7-38;8-9;8-10;8-11;9-39;9-40;9-41;10-42;10-43;10-44;11-45;11-46;11-47;12-48;12-49;12-50;13-51;13-52;13-53;14-54;14-55;14-56;15-16;15-29;15-30;16-17;16-21;17-18;17-57;18-19;18-58;19-20;19-59;20-21;20-60;21-61;22-23;22-31;22-32;23-24;23-28;24-25;24-62;25-26;25-63;26-27;26-64;27-28;27-65;28-66,
ABISIO,1,1,ok,1,fast_binary,67,72,44,0-5;0-34;1-5;1-6;1-22;2-5;2-8;2-10;3-13;3-20;4-25;4-32;6-7;6-8;8-9;10-11;10-12;10-13;13-14;14-15;14-16;16-17;16-18;18-19;18-20;20-21;22-23;22-24;22-25;25-26;26-27;26-28;28-29;28-30;30-31;30-32;32-33;34-35;34-39;35-36;35-54;36-37;36-38;38-39;38-53;39-40;40-41;40-42;40-43;43-44;43-48;44-45;45-46;45-52;46-47;46-51;47-48;47-50;48-49;54-55;54-56;54-57;57-58;57-62;58-59;59-60;59-66;60-61;60-65;61-62;61-64;62-63,
ABITEM,0,1,ok,1,fast_binary,47,52,34,0-3;0-4;0-5;0-6;0-7;0-8;1-45;2-46;3-9;3-17;4-21;4-29;5-33;5-41;6-18;6-30;6-42;7-45;8-46;9-10;9-11;11-12;11-13;13-14;13-15;15-16;15-17;17-18;18-19;18-20;21-22;21-23;23-24;23-25;25-26;25-27;27-28;27-29;29-30;30-31;30-32;33-34;33-35;35-36;35-37;37-38;37-39;39-40;39-41;41-42;42-43;42-44,
ABITEN,1,1,ok,1,fast_binary,41,48,32,0-4;0-5;0-7;0-8;0-10;0-12;0-17;0-35;0-36;1-4;2-35;3-36;5-6;5-7;5-17;7-8;7-19;8-9;8-10;10-11;10-12;12-13;12-17;13-14;13-15;13-16;17-18;19-20;19-34;20-21;20-22;22-23;22-24;24-25;24-26;26-27;26-34;27-28;27-29;29-30;29-31;31-32;31-33;33-34;33-37;37-38;37-39;37-40,
ABIVAK,0,1,ok,1,fast_binary,47,52,34,0-3;0-4;0-5;0-6;0-7;0-8;1-45;2-46;3-9;3-17;4-21;4-29;5-33;5-41;6-18;6-30;6-42;7-45;8-46;9-10;9-11;11-12;11-13;13-14;13-15;15-16;15-17;17-18;18-19;18-20;21-22;21-23;23-24;23-25;25-26;25-27;27-28;27-29;29-30;30-31;30-32;33-34;33-35;35-36;35-37;37-38;37-39;39-40;39-41;41-42;42-43;42-44,
ABIWUD,0,1,ok,1,fast_binary,35,34,14,0-1;0-2;0-3;0-5;3-4;3-9;5-6;5-22;7-9;7-14;7-18;8-22;8-27;8-31;9-10;10-11;10-12;10-13;14-15;14-16;14-17;18-19;18-20;18-21;22-23;23-24;23-25;23-26;27-28;27-29;27-30;31-32;31-33;31-34,
ABIWUE,0,1,ok,1,fast_binary,30,32,23,0-1;0-2;0-3;0-10;3-4;3-8;4-5;4-9;5-6;5-21;6-7;6-22;7-8;7-23;8-24;9-10;9-25;10-11;11-12;11-16;12-13;12-17;13-14;13-26;14-15;14-27;15-16;15-28;16-29;17-18;17-19;17-20,
ABIZIW,0,1,ok,1,fast_binary,32,36,26,0-1;0-2;0-25;2-3;2-4;4-5;4-6;6-7;6-8;8-9;8-25;9-10;9-26;10-11;10-12;12-13;12-28;13-14;13-15;15-16;15-26;16-17;16-27;17-18;17-19;19-20;19-21;21-22;21-23;23-24;23-27;25-29;26-29;27-29;29-30;29-31,
ABOFAA,0,1,ok,1,fast_binary,79,79,29,0-1;0-2;0-3;0-4;1-68;2-5;2-12;2-19;3-26;3-33;3-40;4-47;4-54;4-61;5-6;5-7;5-8;8-9;8-10;8-11;12-13;12-14;12-15;15-16;15-17;15-18;19-20;19-21;19-22;22-23;22-24;22-25;26-27;26-28;26-29;29-30;29-31;29-32;33-34;33-35;33-36;36-37;36-38;36-39;40-41;40-42;40-43;43-44;43-45;43-46;47-48;47-49;47-50;50-51;50-52;50-53;54-55;54-56;54-57;57-58;57-59;57-60;61-62;61-63;61-64;64-65;64-66;64-67;68-69;68-77;69-70;69-71;71-72;71-73;73-74;73-75;75-76;75-77;77-78,
ABOFAZ,0,1,ok,1,fast_binary,49,52,26,0-1;0-2;0-5;0-6;3-16;3-19;4-36;4-37;5-14;5-19;6-36;6-40;7-8;7-9;7-10;7-11;11-12;11-13;11-14;14-15;14-16;16-17;16-18;19-20;20-21;20-33;20-36;21-22;21-23;21-24;24-25;24-26;24-27;27-28;27-29;27-30;30-31;30-32;30-33;33-34;33-35;37-38;37-39;37-40;40-41;40-42;42-43;42-44;42-45;45-46;45-47;45-48,
ABOJOT,0,1,ok,1,fast_binary,24,28,16,0-1;0-2;0-3;0-5;0-8;0-10;3-4;3-5;3-12;5-6;5-17;6-7;6-8;6-14;8-9;8-10;10-11;10-12;12-13;12-14;14-15;14-16;17-18;17-19;17-20;20-21;20-22;20-23,
ABOQUE,0,1,ok,1,fast_binary,30,32,20,0-1;0-2;0-3;0-26;2-4;2-8;2-12;3-15;3-18;4-5;4-6;4-7;8-9;8-10;8-11;12-13;12-14;12-15;15-16;15-17;18-19;18-20;20-21;20-26;21-22;21-27;22-23;22-24;24-25;24-28;25-26;25-29,
ABOXOG,1,1,ok,1,fast_binary,64,70,50,0-8;0-9;0-10;0-11;0-12;0-13;1-19;2-29;3-39;4-13;5-10;5-14;6-11;6-24;7-12;7-34;8-44;8-51;9-52;9-62;14-15;14-22;15-16;15-17;17-18;17-19;19-20;20-21;20-22;22-23;24-25;24-32;25-26;25-27;27-28;27-29;29-30;30-31;30-32;32-33;34-35;34-42;35-36;35-37;37-38;37-39;39-40;40-41;40-42;42-43;44-45;44-46;46-47;46-48;48-49;48-50;50-51;50-56;51-52;52-53;53-54;53-58;54-55;54-56;56-57;58-59;58-60;60-61;60-62;62-63,
ABOYAT,1,1,ok,1,fast_binary,76,82,53,0-8;0-9;0-10;0-11;0-12;0-13;1-13;2-19;2-24;3-33;3-38;4-47;4-52;5-10;5-14;6-11;6-28;7-12;7-42;8-56;8-63;9-64;9-70;14-15;14-22;15-16;15-17;17-18;17-19;19-20;20-21;20-22;22-23;24-25;24-26;24-27;28-29;28-36;29-30;29-31;31-32;31-33;33-34;34-35;34-36;36-37;38-39;38-40;38-41;42-43;42-50;43-44;43-45;45-46;45-47;47-48;48-49;48-50;50-51;52-53;52-54;52-55;56-57;56-58;58-59;58-60;60-61;60-62;62-63;62-74;63-64;64-65;65-66;65-72;66-67;66-68;68-69;68-70;70-71;72-73;72-74;74-75,
ABOZOH,0,1,ok,1,fast_binary,37,39,21,0-1;0-2;0-3;0-36;3-4;3-16;4-5;4-9;5-6;5-7;5-8;9-10;9-11;11-12;11-16;12-13;12-14;12-15;16-17;17-18;17-19;17-20;20-21;20-22;20-23;23-24;23-36;24-25;24-29;25-26;25-27;25-28;29-30;29-31;31-32;31-36;32-33;32-34;32-35,
ABUFAE,0,1,ok,1,fast_binary,61,68,45,0-1;0-2;0-3;0-4;0-5;0-6;1-13;1-14;2-25;2-26;2-32;3-19;5-7;6-20;7-8;7-12;8-9;8-38;9-10;9-39;10-11;10-40;11-12;11-41;12-13;13-42;14-15;14-19;15-16;15-43;16-17;16-44;17-18;17-45;18-19;18-46;20-21;20-25;21-22;21-47;22-23;22-48;23-24;23-49;24-25;24-50;26-27;26-31;27-28;27-51;28-29;28-52;29-30;29-53;30-31;30-54;31-55;32-33;32-37;33-34;33-56;34-35;34-57;35-36;35-58;36-37;36-59;37-60,
ABUFIM,0,1,ok,1,fast_binary,44,47,32,0-1;0-2;0-3;0-26;0-27;0-28;2-7;2-14;2-20;3-13;4-26;5-27;6-28;7-8;7-12;8-9;8-29;9-10;9-30;10-11;10-31;11-12;11-32;12-13;13-33;14-15;14-19;15-16;15-34;16-17;16-35;17-18;17-36;18-19;18-37;19-38;20-21;20-25;21-22;21-39;22-23;22-40;23-24;23-41;24-25;24-42;25-43,
ABUFOS,0,1,ok,1,fast_binary,55,59,39,0-1;0-2;0-6;0-32;0-33;0-34;2-7;2-20;2-26;3-32;4-33;5-34;6-13;6-14;7-8;7-12;8-9;8-35;9-10;9-36;10-11;10-37;11-12;11-38;12-13;13-39;14-15;14-19;15-16;15-40;16-17;16-41;17-18;17-42;18-19;18-43;19-44;20-21;20-25;21-22;21-45;22-23;22-46;23-24;23-47;24-25;24-48;25-49;26-27;26-31;27-28;27-50;28-29;28-51;29-30;29-52;30-31;30-53;31-54,
