IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp,treatment,edge_changed,result_source
ABIVAK,0,ok,0.0694,47,1,,[Fe+2]123(<-n4c([H])c([H])c([H])c([H])c4C(N->1(C(c1n->2c([H])c([H])c([H])c1[H])([H])[H])C(c1n->3c([H])c([H])c([H])c1[H])([H])[H])([H])[H])(N=C=S)N=C=S,ligand_only,0,baseline_reused
ABIWUD,0,ok,0.0481,35,1,,[Pt+2](Cl)(Cl)(<-N([H])=C(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])<-N([H])=C(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ABIWUE,0,ok,0.0685,30,1,,[Pd+2]1(Cl)(Cl)<-n2c(C(=N->1c1c(C(F)(F)F)c([H])c([H])c([H])c1[H])[H])c([H])c([H])c([H])c2[H],ligand_only,0,baseline_reused
ABIZIW,0,ok,0.0560,32,1,,c1([H])c([H])c([H])c([H])c2-c3c([H])c(Cl)c([H])c4-c5c([H])c([H])c([H])c([H])n5->[Cd+2](<-n12)(<-n34)(I)I,ligand_only,0,baseline_reused
ABOFAA,0,ok,0.0810,79,1,,[Cu+]([Se]c1c([H])c([H])c([H])c([H])c1[H])(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],ligand_only,0,baseline_reused
ABOFAZ,0,ok,0.0596,49,1,,[Pd+2]1(Cl)(Cl)<-N2=C(C3(C4=N->1C([H])(C([H])([H])C([H])([H])[H])C([H])([H])S4)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])SC([H])([H])C2(C(C([H])([H])[H])([H])[H])[H],ligand_only,0,baseline_reused
ABOJOT,0,ok,0.0449,24,1,,[Pt+2]123(I)(I)<-C4([H])=C->1(C([H])([H])C([H])([H])[H])C1([H])C->2([H])=C->3([H])C4([H])C1([H])[H],ligand_only,0,baseline_reused
ABOQUE,0,ok,0.0441,30,1,,[Pt+2]12(Cl)<-N(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(N->1=C([H])c1c(F)c([H])c(F)c(F)c12)([H])[H],ligand_only,0,baseline_reused
ABOXOG,1,ok,0.1018,64,1,,[Re+]1(<-n2c([H])c([H])c([H])c3c2c2n->1c([H])c([H])c([H])c2c([H])c3[H])(<-C=Nc1c([H])c([H])c(Cl)c([H])c1[H])(<-C=Nc1c([H])c([H])c(Cl)c([H])c1[H])(<-C=Nc1c([H])c([H])c(Cl)c([H])c1[H])<-[C-]#[O+],ligand_only,0,baseline_reused
ABOYAT,1,ok,0.1158,76,1,,[Re+]1(<-n2c([H])c([H])c([H])c3c2c2n->1c([H])c([H])c([H])c2c([H])c3[H])(<-C=Nc1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])(<-C=Nc1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])(<-C=Nc1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])<-[C-]#[O+],ligand_only,0,baseline_reused
ABOZOH,0,ok,0.0535,37,1,,[Zn+2]1(Cl)(Cl)<-n2c(C([H])([H])[H])c([H])c(C([H])([H])[H])n2C([H])([H])C([H])([H])n2c(C([H])([H])[H])c([H])c(C([H])([H])[H])n->12,ligand_only,0,baseline_reused
ABUFAE,0,ok,0.1651,61,1,,[Re+5]123(<-N(=C([H])c4c(c([H])c([H])c([H])c4[H])O1)c1c([H])c([H])c([H])c([H])c1S2)(<-P(c1c(O3)c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])=O,ligand_only,0,baseline_reused
ABUFIM,0,ok,0.0663,44,1,,[Re+]1(Br)(<-P(c2c([H])c([H])c([H])c([H])c2C(=O->1)[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABUFOS,0,ok,0.0805,55,1,,[Re+]1(Cl)(<-P(c2c([H])c([H])c([H])c([H])c2C(=N->1c1c([H])c([H])c([H])c([H])c1[H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABUFUY,0,ok,0.0820,55,1,,[Re+]1(Br)(<-P(c2c([H])c([H])c([H])c([H])c2C(=N->1c1c([H])c([H])c([H])c([H])c1[H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
ABUPIX,0,ok,0.0933,73,1,,[Ti+4](Oc1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])(Oc1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])(Oc1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])Oc1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],ligand_only,0,baseline_reused
ABUSAU,0,ok,0.0602,45,1,,c1(Br)c([H])c([H])c([H])c([H])c1C([H])=N1C([H])([H])C([H])([H])N2(C([H])([H])C([H])([H])N(=C([H])c3c([H])c([H])c([H])c([H])c3Br)->[Cd+2]<-1<-2(Br)Br)[H],ligand_only,0,baseline_reused
ABUSEW,0,ok,0.0880,59,1,,I[Ni+2]12<-P(C(c3c1c(C(P->2(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])([H])[H])c([H])c([H])c3[H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ABUVUP,0,ok,0.1837,83,1,,[Ni+2]12(Oc3c(C(=N->1c1c([H])c([H])c([N+]([O-])=O)c([H])c1[H])[H])c([H])c([H])c(N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])c3[H])Oc1c(C(=N->2c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])[H])c([H])c([H])c(N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])c1[H],ligand_only,0,baseline_reused
ABUWEZ,0,ok,0.0536,53,1,,[Pd+2](<-P(C([H])([H])C([H])([H])C#N)(C([H])([H])C([H])([H])C#N)C([H])([H])C([H])([H])C#N)(Cl)(<-P(C([H])([H])C([H])([H])C#N)(C([H])([H])C([H])([H])C#N)C([H])([H])C([H])([H])C#N)Cl,ligand_only,0,baseline_reused
ABUXIF,0,ok,0.0566,49,1,,[Zn+2]1(Cl)(Cl)<-N23C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])C2([H])C([H])([H])C([H])(C3([H])[H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N->13C2([H])[H],ligand_only,0,baseline_reused
ABUYAX,0,ok,0.1303,67,1,,[Pd+2]1(Cl)(Cl)<-N(=C([H])C(=N->1c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])[H])c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ACACEM,1,ok,0.0852,52,1,,[Rh+3]1234(<-C5(C([H])([H])[H])=C->1(C([H])([H])[H])C->2(C([H])([H])[H])=C->3(C([H])([H])[H])C45C([H])([H])[H])(C(C(C(F)(F)F)(F)F)(F)F)(<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-O([H])[H],ligand_only,0,baseline_reused
ACAPUQ,1,ok,0.1639,68,1,,[Ru+2]1234(Cl)<-O=C(N(c5n->1c(C(N->2(C(c1n->3c([H])c([H])c([H])c1[H])([H])[H])C(c1n->4c(N(C(=O)C(C([H])([H])[H])(C([H])([H])[H])[H])[H])c([H])c([H])c1[H])([H])[H])([H])[H])c([H])c([H])c5[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H],ligand_only,0,baseline_reused
ACAQIE,1,ok,0.0721,50,1,,[Co+3]123(<-N(C(C(C(N([H])[H])=O)([H])[H])([H])[H])(C([H])([H])C(=O)O1)C([H])([H])C(=O)O2)(<-n1c([H])c([H])c([H])c2c([H])c([H])c4c([H])c([H])c([H])n->3c4c12)<-O([H])[H],ligand_only,0,baseline_reused
ACARAZ,0,ok,0.0536,37,1,,[Pt+4](Cl)(Cl)(<-N([H])([H])c1c([H])c([H])c([H])c([H])c1[N+]([O-])=O)(Cl)(Cl)<-N([H])([H])c1c([H])c([H])c([H])c([H])c1[N+](=O)[O-],ligand_only,0,baseline_reused
ACARED,0,ok,0.0538,37,1,,[Pt+4](Cl)(Cl)(<-N([H])([H])c1c([H])c([N+]([O-])=O)c([H])c([H])c1[H])(Cl)(Cl)<-N([H])([H])c1c([H])c([N+](=O)[O-])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ACAREE,0,ok,0.0915,40,1,,[Ru+2]12345(Cl)(Cl)(<-N(=c6n([H])c(=O)n([H])c([H])c6[H])[H])<-c6([H])c->1([H])c->2(C([H])([H])[H])c->3([H])c->4([H])c->56C([H])(C([H])([H])[H])C([H])([H])[H],ligand_only,0,baseline_reused
ACARUT,0,ok,0.0498,39,1,,[Pt+4](Cl)(Cl)(Cl)(Cl)(<-N([H])=C(N([H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[H])C([H])([H])C([H])([H])[H])<-N#CC([H])([H])C([H])([H])[H],ligand_only,0,baseline_reused
ACASII,0,ok,0.0547,45,1,,[Pt+4](Cl)(Cl)(Cl)(Cl)(<-N([H])=C(N([H])c1c([H])c([N+](=O)[O-])c([H])c([H])c1[H])C([H])([H])C([H])([H])[H])<-N([H])=C(OC([H])([H])[H])C([H])([H])C([H])([H])[H],ligand_only,0,baseline_reused
ACATUT,0,ok,0.0411,23,1,,[Pt+4](Cl)(Cl)(Cl)(Cl)(<-n1n([H])c([H])c([H])c1[H])<-n1n([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ACAWIK,0,ok,0.1465,75,1,,[Ti+4](Cl)(Cl)(F)(F)(<-O=P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])<-O=P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ACAWOR,0,ok,0.0792,61,1,,[Pd+2](Br)(<-C1N(C(C(=C([H])[H])[H])([H])[H])c2c(c([H])c([H])c([H])c2[H])N1C(C(=C([H])[H])[H])([H])[H])(Br)<-C1N(C(C(=C([H])[H])[H])([H])[H])c2c(c([H])c([H])c([H])c2[H])N1C(C(=C([H])[H])[H])([H])[H],ligand_only,0,baseline_reused
ACAXOU,0,ok,0.3662,62,1,,[Ir+3]123456(<-N(C([H])(C(c7c([H])c([H])c([H])c([H])c7[H])([H])N1S(=O)(=O)C(F)(F)F)c1c([H])c([H])c([H])c([H])c12)([H])[H])<-C1(C([H])([H])[H])=C->3(C([H])([H])[H])C4(C([H])([H])[H])C->5(C([H])([H])[H])=C->61C([H])([H])[H],ligand_only,0,baseline_reused
ACAZOU,0,ok,0.0567,41,1,,[Pt+2](I)(<-n1c([H])c(N(S(=O)(=O)C([H])([H])[H])[H])c([H])c([H])c1[H])(I)<-n1c([H])c(N(S(=O)(=O)C([H])([H])[H])[H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ACEHOI,0,ok,0.0453,25,1,,I[Zn+2]1(I)<-n2c3c(c([H])c([H])c2[H])c([H])c([H])c2c3n->1c([H])c([H])c2[H],ligand_only,0,baseline_reused
ACEKAU,0,ok,0.0519,62,1,,[Ni]1(<-P(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C(P->1(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])<-N#Cc1c([H])c([H])c([H])c([H])c1[H],ligand_only,0,baseline_reused
ACEMEC,-1,ok,0.0276,15,1,,[Pt+2]1(Cl)(Cl)OC(=O)C(N->1([H])[H])([H])C([H])([H])[H],ligand_only,0,baseline_reused
ACEPUT,0,ok,0.0665,36,1,,[Re+]1(Br)(<-n2c3c4c5n->1c([H])c([H])c(Cl)c5c([H])c([H])c4c([H])c([H])c3c(Cl)c([H])c2[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],ligand_only,0,baseline_reused
