IDs,status,both_parsed,ligand_equiv,ligand_canonical,metal_connectivity,metal_oxidation,full_connectivity,ox_ilp,ox_reference,old_ilp_oxidation,old_mechanism_class,old_motif_class,ilp_ligands,reference_ligands,old_ilp_ligands,smiles_ilp,error
CIRXAC,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccccn2)nc1,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccccn2)nc1,O=O || O=O || [O-2] || c1ccc(-c2ccccn2)nc1,c12-c3n(->[Mo+6]45(=O)(<-[O-][O-]->4)(<-[O-][O-]->5)<-n1c([H])c([H])c([H])c2[H])c([H])c([H])c([H])c3[H],
DAQCEF,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,Nc1nccc(-c2ccccn2)n1 || [O-2] || [O-][O-] || [O-][O-],Nc1nccc(-c2ccccn2)n1 || [O-2] || [O-][O-] || [O-][O-],Nc1nccc(-c2ccccn2)n1 || O=O || O=O || [O-2],[V+5]123(=O)(<-[O-][O-]->1)(<-[O-][O-]->2)<-n1c(-c2n->3c(N([H])[H])nc([H])c2[H])c([H])c([H])c([H])c1[H],
DAQCIJ,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccncn2)nc1,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccncn2)nc1,O=O || O=O || [O-2] || c1ccc(-c2ccncn2)nc1,[V+5]123(<-[O-][O-]->1)(=O)(<-n1c(-c4n->2c([H])c([H])c([H])c4[H])c([H])c([H])nc1[H])<-[O-][O-]->3,
DAQFUX,ok,1,1,0,1,0,1,3,1,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,CC1=CO[C-2]N1c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,CC1=CO[C]N1c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,CC1=CO[C-2]N1c1ccccc1 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,C1([H])([H])P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])->[Mn+3](=c2n(-c3c([H])c([H])c([H])c([H])c3[H])c(C([H])([H])[H])c([H])o2)(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],
DAQSIX,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,O=C([O-])c1cnccn1 || O=C([O-])c1cnccn1 || [O-2] || [O-][O-],O=C([O-])c1cnccn1 || O=C([O-])c1cnccn1 || [O-2] || [O-][O-],O=C([O-])c1cnccn1 || O=C([O-])c1cnccn1 || O=O || [O-2],[V+5]123(OC(=O)c4n->1c([H])c([H])nc4[H])(OC(=O)c1n->2c([H])c([H])nc1[H])(=O)<-[O-][O-]->3,
EBUJIU,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CN1Cc2cccc(n2)CN(C)Cc2cccc(n2)C1 || [O-2] || [O-][O-],CN1Cc2cccc(n2)CN(C)Cc2cccc(n2)C1 || [O-2] || [O-][O-],CN1Cc2cccc(n2)CN(C)Cc2cccc(n2)C1 || O=O || [O-2],[V+5]1234(=O)(<-[O-][O-]->1)<-N1(C([H])([H])[H])C([H])([H])c5n->2c(c([H])c([H])c5[H])C([H])([H])N->3(C([H])([H])[H])C([H])([H])c2n->4c(c([H])c([H])c2[H])C1([H])[H],
EQADIL,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccccn2)nc1,[O-2] || [O-][O-] || [O-][O-] || c1ccc(-c2ccccn2)nc1,C1=C[N-]C(=C2C=CC=C[N-]2)C=C1 || O=O || O=O || [O-2],[W+6]123(<-[O-][O-]->1)(<-[O-][O-]->2)(=O)<-n1c([H])c([H])c([H])c([H])c1-c1n->3c([H])c([H])c([H])c1[H],
EQIBOX,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CCCCS(=O)(=NC)c1ccccn1 || [O-2] || [O-][O-] || [O-][O-],CCCCS(=O)(=NC)c1ccccn1 || [O-2] || [O-][O-] || [O-][O-],CCCCS(=O)(=NC)c1ccccn1 || O=O || O=O || [O-2],[Mo+6]123(<-n4c([H])c([H])c([H])c([H])c4S(=N->1C([H])([H])[H])(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])(=O)(<-[O-][O-]->2)<-[O-][O-]->3,
EQUMEI,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,[O-2] || [O-][O-] || [O-][O-] || c1ccc(Cn2ccc(-c3ccccn3)n2)cc1,[O-2] || [O-][O-] || [O-][O-] || c1ccc(Cn2ccc(-c3ccccn3)n2)cc1,O=O || O=O || [O-2] || c1ccc(Cn2ccc(-c3ccccn3)n2)cc1,[Mo+6]123(=O)(<-[O-][O-]->1)(<-[O-][O-]->2)<-n1c([H])c([H])c([H])c([H])c1-c1n->3n(C(c2c([H])c([H])c([H])c([H])c2[H])([H])[H])c([H])c1[H],
EVAKER,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,O=C([O-])c1ncccc1O || O=C([O-])c1ncccc1O || [O-2] || [O-][O-],O=C([O-])c1ncccc1O || O=C([O-])c1ncccc1O || [O-2] || [O-][O-],O=C([O-])c1ncccc1O || O=C([O-])c1ncccc1O || O=O || [O-2],[V+5]123(=O)(<-[O-][O-]->1)(OC(=O)c1n->2c([H])c([H])c([H])c1O[H])OC(=O)c1n->3c([H])c([H])c([H])c1O[H],
FAJFEC,ok,1,1,1,1,1,1,3,3,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(C)(N)C(C)(C)N || CC(C)(N)C(C)(C)N || [O-][O-],CC(C)(N)C(C)(C)N || CC(C)(N)C(C)(C)N || [O-][O-],CC(C)(N)C(C)(C)N || CC(C)(N)C(C)(C)N || O=O,[Co+3]123(<-[O-][O-]->1)(<-N(C(C(N->2([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])<-N(C(C(N->3([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H],
FEPHUD,ok,1,1,1,1,1,1,3,3,,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,CCSCCP(c1ccccc1)c1ccccc1 || CCSCCP(c1ccccc1)c1ccccc1 || [O-][O-],CCSCCP(c1ccccc1)c1ccccc1 || CCSCCP(c1ccccc1)c1ccccc1 || [O-][O-],CCSCCP(c1ccccc1)c1ccccc1 || CCSCCP(c1ccccc1)c1ccccc1 || O=O,[Ir+3]123(<-S(C(C(P->1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])(<-S(C(C(P->2(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])<-[O-][O-]->3,
GAMLEM,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,[O-2] || [O-][O-] || [O-][O-] || [O-]c1cccc2cccnc12,[O-2] || [O-][O-] || [O-][O-] || [O-]c1cccc2cccnc12,O=O || O=O || [O-2] || [O-]c1cccc2cccnc12,[W+6]123(<-n4c5c(O1)c([H])c([H])c([H])c5c([H])c([H])c4[H])(<-[O-][O-]->2)(<-[O-][O-]->3)=O,
GEFBUR,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,O=C([O-])c1ccccn1 || [O-2] || [O-][O-] || [O-][O-],O=C([O-])c1ccccn1 || [O-2] || [O-][O-] || [O-][O-],O=C([O-])c1ccccn1 || O=O || O=O || [O-2],[Mo+6]123(<-[O-][O-]->1)(<-[O-][O-]->2)(OC(=O)c1n->3c([H])c([H])c([H])c1[H])=O,
GILGUD,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,[CH2-][Si](C)(C)C || [O-2] || [O-][O-] || c1cc[cH-]c1,[CH2-][Si](C)(C)C || [O-2] || [O-][O-] || c1cc[cH-]c1,O=O || [CH2-][Si](C)(C)C || [O-2] || c1cc[cH-]c1,[W+6]12345(=O)(<-[O-][O-]->1)(<-C1([H])=C->2([H])C3([H])C->4([H])=C->51[H])C([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H],
GULQIO,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,NC(=O)c1ccccn1 || O=C([O-])c1ccccn1 || [O-2] || [O-][O-],NC(=O)c1ccccn1 || O=C([O-])c1ccccn1 || [O-2] || [O-][O-],NC(=O)c1ccccn1 || O=C([O-])c1ccccn1 || O=O || [O-2],[V+5]123(=O)(<-[O-][O-]->1)(<-n1c(C(O2)=O)c([H])c([H])c([H])c1[H])<-n1c(C(=O->3)N([H])[H])c([H])c([H])c([H])c1[H],
HEWCUI,ok,1,1,1,1,1,1,5,5,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,COC(=O)C12CN(Cc3ccccn3)CC(C(=O)OC)(C(c3ccccn3)N(C)C1c1ccccn1)C2(O)O || [O-2] || [O-][O-],COC(=O)C12CN(Cc3ccccn3)CC(C(=O)OC)(C(c3ccccn3)N(C)C1c1ccccn1)C2(O)O || [O-2] || [O-][O-],COC(=O)C12CN(Cc3ccccn3)CC(C(=O)OC)(C(c3ccccn3)N(C)C1c1ccccn1)C2(O)O || O=O || [O-2],C12(C(=O)OC([H])([H])[H])C3([H])c4c([H])c([H])c([H])c([H])n4->[V+5]456(<-n7c(C([H])(C(C(=O)OC([H])([H])[H])(C([H])([H])N->4(C([H])([H])c4c([H])c([H])c([H])c([H])n4)C1([H])[H])C2(O[H])O[H])N->53C([H])([H])[H])c([H])c([H])c([H])c7[H])(=O)<-[O-][O-]->6,
HONNAA,ok,1,1,1,1,1,1,4,4,,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,Cc1c(C)c(C)[c-](C)c1C || [C-]#Cc1c(F)c(F)c(F)c(F)c1F || [O-][O-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1c(C)c(C)[c-](C)c1C || [C-]#Cc1c(F)c(F)c(F)c(F)c1F || [O-][O-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1c(C)c(C)[c-](C)c1C || O=O || [C-]#Cc1c(F)c(F)c(F)c(F)c1F || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Ru+4]12345(<-[O-][O-]->1)(<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(C#Cc1c(F)c(F)c(F)c(F)c1F)<-C1(C([H])([H])[H])=C->2(C([H])([H])[H])C3(C([H])([H])[H])C->4(C([H])([H])[H])=C->51C([H])([H])[H],
HOQYER,ok,1,1,1,1,1,1,4,4,,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,Cc1c(C)c(C)[c-](C)c1C || [C-]#Cc1ccccc1 || [O-][O-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1c(C)c(C)[c-](C)c1C || [C-]#Cc1ccccc1 || [O-][O-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1c(C)c(C)[c-](C)c1C || O=O || [C-]#Cc1ccccc1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Ru+4]12345(<-[O-][O-]->1)(<-P(c1c([H])c([H])c([H])c([H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])(C#Cc1c([H])c([H])c([H])c([H])c1[H])<-C1(C([H])([H])[H])=C->2(C([H])([H])[H])C->3(C([H])([H])[H])=C->4(C([H])([H])[H])C51C([H])([H])[H],
HOZZON,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=NN=C([O-])c1ccccc1)c1ccccc1[O-] || CO || [O-2] || [O-][O-],CC(=NN=C([O-])c1ccccc1)c1ccccc1[O-] || CO || [O-2] || [O-][O-],CC(=NN=C([O-])c1ccccc1)c1ccccc1[O-] || CO || O=O || [O-2],[Mo+6]123(=O)(<-N(=C(C([H])([H])[H])c4c([H])c([H])c([H])c([H])c4O1)N=C(c1c([H])c([H])c([H])c([H])c1[H])O2)(<-[O-][O-]->3)<-O([H])C([H])([H])[H],
HUSTIA,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC(=NN=C([O-])c1ccncc1)c1ccccc1[O-] || CO || [O-2] || [O-][O-],CC(=NN=C([O-])c1ccncc1)c1ccccc1[O-] || CO || [O-2] || [O-][O-],CC(=NN=C([O-])c1ccncc1)c1ccccc1[O-] || CO || O=O || [O-2],[W+6]123(<-N(=C(C([H])([H])[H])c4c(c([H])c([H])c([H])c4[H])O1)N=C(c1c([H])c([H])nc([H])c1[H])O2)(<-[O-][O-]->3)(<-O([H])C([H])([H])[H])=O,
IGIZUT,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,CC(C)(C)P(Cc1ccccc1CP(C(C)(C)C)C(C)(C)C)C(C)(C)C || [O-][O-],CC(C)(C)P(Cc1ccccc1CP(C(C)(C)C)C(C)(C)C)C(C)(C)C || [O-][O-],CC(C)(C)P(Cc1ccccc1CP(C(C)(C)C)C(C)(C)C)C(C)(C)C || O=O,[Pd+2]12(<-P(C(c3c(C(P->1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])c([H])c([H])c([H])c3[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-[O-][O-]->2,
ITOHIJ,ok,1,1,1,1,1,1,3,3,,coupled_ligand_charge_and_oxidation,C_N_donor_cyanide_or_isocyanide,CC(=Nc1c(C)cccc1C)C(C)=Nc1c(C)cccc1C || [C-]#[N+]C(C)(C)C || [Cl-] || [O-][O-],CC(=Nc1c(C)cccc1C)C(C)=Nc1c(C)cccc1C || [C-]#[N+]C(C)(C)C || [Cl-] || [O-][O-],CC(=Nc1c(C)cccc1C)C(C)=Nc1c(C)cccc1C || O=O || [C-]#[N+]C(C)(C)C || [Cl-],C1(C(C([H])([H])[H])=N(c2c(C([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])[H])->[Rh+3]2(<-[C-]#[N+]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(Cl)(<-N=1c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])<-[O-][O-]->2)C([H])([H])[H],
JALBEE,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,COCC1N=C(c2ccccn2)OC1c1ccccc1 || [O-2] || [O-][O-] || [O-][O-],COCC1N=C(c2ccccn2)OC1c1ccccc1 || [O-2] || [O-][O-] || [O-][O-],COCC1N=C(c2ccccn2)OC1c1ccccc1 || O=O || O=O || [O-2],[Mo+6]123(=O)(<-[O-][O-]->1)(<-[O-][O-]->2)<-n1c([H])c([H])c([H])c([H])c1C1=N->3C([H])(C(OC([H])([H])[H])([H])[H])C([H])(c2c([H])c([H])c([H])c([H])c2[H])O1,
KABKOO,ok,1,1,0,1,0,1,2,0,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,COc1cccc2c1N(C)[C-2]O2 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COc1cccc2c1N(C)[C]O2 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COc1cccc2c1N(C)[C-2]O2 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],n1(C([H])([H])[H])c(=[W+2](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])oc2c1c(OC([H])([H])[H])c([H])c([H])c2[H],
KEZWOD,ok,1,1,0,1,0,1,3,1,,coupled_ligand_charge_and_oxidation,haptic_or_adjacent_multi_C,C1=CCCC=CCC1 || CC1=C(C)N(c2c(C)cc(C)cc2C)[C-2]O1 || [Cl-],C1=CCCC=CCC1 || CC1=C(C)N(c2c(C)cc(C)cc2C)[C]O1 || [Cl-],C1=CCCC=CCC1 || CC1=C(C)N(c2c(C)cc(C)cc2C)[C-2]O1 || [Cl-],[Rh+3]123(Cl)(<-C4([H])=C->1([H])C([H])([H])C([H])([H])C->2([H])=C->3([H])C([H])([H])C4([H])[H])=c1n(-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])o1,
KUHSIQ,ok,1,1,1,1,1,1,2,2,,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,[O-][O-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[O-][O-] || c1ccc(P(c2ccccc2)c2ccccc2)cc1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=O || c1ccc(P(c2ccccc2)c2ccccc2)cc1 || c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Pd+2]1(<-P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])(<-P(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])<-[O-][O-]->1,
KUKNIO,ok,1,1,1,1,1,1,3,3,,coupled_ligand_charge_and_oxidation,P_donor_no_M_C,CP(C)C || CP(C)C || CP(C)C || CP(C)C || [O-][O-],CP(C)C || CP(C)C || CP(C)C || CP(C)C || [O-][O-],CP(C)C || CP(C)C || CP(C)C || CP(C)C || O=O,[Ir+3]1(<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-P(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-[O-][O-]->1,
LECSOC,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,CC1CCC(C(C)C)C(Oc2cccc(-n3cccn3)n2)C1 || [O-2] || [O-][O-] || [O-][O-],CC1CCC(C(C)C)C(Oc2cccc(-n3cccn3)n2)C1 || [O-2] || [O-][O-] || [O-][O-],CC1CCC(C(C)C)C(Oc2cccc(-n3cccn3)n2)C1 || O=O || O=O || [O-2],[Mo+6]123(<-n4c([H])c([H])c([H])n4-c4c([H])c([H])c([H])c(OC5([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C5([H])[H])n->14)(=O)(<-[O-][O-]->2)<-[O-][O-]->3,
LEWYAN,ok,1,1,0,1,0,1,2,0,,coupled_ligand_charge_and_oxidation,heterocyclic_carbene_like,COc1cccc2c1N(C)[C-2]O2 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COc1cccc2c1N(C)[C]O2 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],COc1cccc2c1N(C)[C-2]O2 || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+] || [C-]#[O+],[Cr+2](=c1oc2c(n1C([H])([H])[H])c(OC([H])([H])[H])c([H])c([H])c2[H])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],
LIDROF,ok,1,1,1,1,1,1,6,6,,coupled_ligand_charge_and_oxidation,N_O_only_coordination,O=C([O-])CN(CC(=O)[O-])CC(=O)[O-] || [O-2] || [O-][O-],O=C([O-])CN(CC(=O)[O-])CC(=O)[O-] || [O-2] || [O-][O-],O=C([O-])CN(CC(=O)[O-])CC(=O)[O-] || O=O || [O-2],[Mo+6]1234(<-N(C([H])([H])C(=O)O1)(C([H])([H])C(=O)O2)C([H])([H])C(=O)O3)(<-[O-][O-]->4)=O,
