CSD_code,SMILES_tmQM,q,s,metal_symbol,coordination_number_tmQM,SMILES_CSD_fixed,coordination_number_CSD_fixed,SMILES_G
VAYNOC,Cc1cc(C)cc([N-](C(C)(C)C)->[Sc+3](<-[CH2-][Si](C)(C)C)(<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)<-O2CCCC2)c1,0,0,Sc,4,Cc1cc(C)cc([N-](C(C)(C)C)->[Sc+3](<-[CH2-][Si](C)(C)C)(<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)<-O2CCCC2)c1,4.0,Cc1cc(C)cc([N-:4Π↓](C(C)(C)C)->[Sc+3](<-[CH2-:1↑][Si](C)(C)C)(<-[N-:3Π↓](c2cc(C)cc(C)c2)C(C)(C)C)<-[O:2Π↓]2CCCC2)c1
SINHIK,CS(C)=O->[Y+](<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)<-O=S(C)C,1,0,Y,8,CS(C)=O->[Y+](<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)(<-O=S(C)C)<-O=S(C)C,8.0,
ISOZUO,Cc1cc(C)n2->[Y+3]3(<-[O-]C(c4ccc(N(C)C)cc4)(c4ccc(N(C)C)cc4)C(n12)n1c(C)cc(C)n->31)(<-[N-]([SiH](C)C)[SiH](C)C)(<-[N-]([SiH](C)C)[SiH](C)C)<-O1CCCC1,0,0,Y,6,Cc1cc(C)n2->[Y+3]3(<-[O-]C(c4ccc(N(C)C)cc4)(c4ccc(N(C)C)cc4)C(n12)n1c(C)cc(C)n->31)(<-[N-]([SiH](C)C)[SiH](C)C)(<-[N-]([SiH](C)C)[SiH](C)C)<-O1CCCC1,6.0,Cc1cc(C)[n:5Π]2->[Y+3Π]3(<-[O-:2Π]C(c4ccc(N(C)C)cc4)(c4ccc(N(C)C)cc4)C(n12)n1c(C)cc(C)[n:1↑]->31)(<-[N-:4Π]([SiH](C)C)[SiH](C)C)(<-[N-:3Π]([SiH](C)C)[SiH](C)C)<-[O:6↓]1CCCC1
EPAHEL,c1ccc(P2([S-]->[Y+3]345(<-[S-]P(c6ccccc6)(c6ccccc6)=C->3=2)<-[S-]P(c2ccccc2)(c2ccccc2)=C->4=P([S-]->5)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,-1,0,Y,6,,,
EZIMEI,CC1=C(C)N(C)C(=C23->[Sc+3]456(<-[Cl-])(<-[Cl-])(<-[Cl-])<-C(=C->42)C->5=C->63)N1C,0,0,Sc,8,Cc1c(C)[n+](C)c(-c23->[Sc+3]456(<-[Cl-])(<-[Cl-])(<-[Cl-])<-c(c->42)[cH-]->5c->63)n1C,8.0,
QEWPUH,COc1ccc(CC2=C[Si](C)(C)[N-]([Si](C)(C)C)->[Y+3]34(<-n5c(C)cc(C)n5[BH-](n5c(C)cc(C)n->35)n3c(C)cc(C)n->43)(<-[N-]2[SiH2]c2ccccc2)<-O2CCCC2)cc1,0,0,Y,6,COc1ccc(CC23=C4[Si](C)(C)[N-]([Si](C)(C)C)->[Y+2]<-4<-256(<-[n-]2c(C)cc(C)[n+]2[BH-]([n+]2c(C)cc(C)[n-]->52)[n+]2c(C)cc(C)[n-]->62)(<-[NH2+]3[SiH2]c2ccccc2)<-O2CCCC2)cc1,8.0,
NURLOE,Cc1cc(C)cc([N-](C(C)(C)C)->[Sc+]23456(<-c7c->28ccccc->38c->4c->52ccccc->672)<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)c1,-1,0,Sc,8,Cc1cc(C)cc([N-](C(C)(C)C)->[Sc+3]2(<-[CH-]3c4ccccc4[CH-]->2c2ccccc23)<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)c1,4.0,
RIDWAG,C[Si]1=C->[Y+3](<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]1[Si](C)(C)C.[CH3-],-1,0,Y,4,C[Si](C)(C)[N-]([Si](C)(C)C)->[Y+3]1(<-[CH2-][Si](C)(C)[N-]->1[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C,4.0,
VACGUF,Cc12->[Y+3]3456789(<-[c-]%10ccccc%10)(<-O%10CCCC%10)(<-c1(C)c->3(C)[c-]->4(C)c->52C)<-c1(C)c->6(C)c->7(C)[c-]->8(C)c->91C,0,0,Y,12,Cc12->[Y+3]3456789(<-[c-]%10ccccc%10)(<-O%10CCCC%10)(<-c1(C)c->3(C)[c-]->4(C)c->52C)<-c1(C)c->6(C)c->7(C)[c-]->8(C)c->91C,12.0,
KEXROY,O=[N+]1[O-]->[Y+3]234567(<-[O-]1)(<-[O-][N+](=O)[O-]->2)<-N1=Cc2cccc(n->32)C=N->4CCN->5=Cc2cccc(n->62)C=N->7CC1,1,0,Y,10,O=[N+]1[O-]->[Y+3]234567(<-[O-]1)(<-[O-][N+](=O)[O-]->2)<-N1=Cc2cccc(n->32)C=N->4CCN->5=Cc2cccc(n->62)C=N->7CC1,10.0,
PUPFUE,CCC[N-]1C(c2ccccc2)[P-](P2N(c3c(C(C)C)cccc3C(C)C)CCN2c2c(C(C)C)cccc2C(C)C)->[Sc+3]<-12<-N(=C(C)C=C(C)[N-]->2c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,0,0,Sc,4,CCC[N-]1C(c2ccccc2)[P-](P2N(c3c(C(C)C)cccc3C(C)C)CCN2c2c(C(C)C)cccc2C(C)C)->[Sc+3]<-12<-N(=C(C)C=C(C)[N-]->2c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,4.0,CCC[N-:3Π↓]1C(c2ccccc2)[P-:2Π↓](P2N(c3c(C(C)C)cccc3C(C)C)CCN2c2c(C(C)C)cccc2C(C)C)->[Sc+3]<-12<-[N:1↑](=C(C)C=C(C)[N-:4Π↓]->2c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C
CUJXIR,CC1=CC(C)=N(c2ccc(F)cc2)->[Sc+3](<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-[N-]1c1ccc(F)cc1)<-O1CCCC1,0,0,Sc,5,CC1=CC(C)=N(c2ccc(F)cc2)->[Sc+3](<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-[N-]1c1ccc(F)cc1)<-O1CCCC1,5.0,
LAKZUW,CN1CCCC1=O->[Y+21]123(<-O=C4CCCN4C)(<-O=C4CCCN4C)(<-[O-]c4c(N([O-])[O-])cc(N([O-])[O-])cc4N([O-])[O-]->1)(<-[O-]c1c(N([O-])[O-])cc(N([O-])[O-])cc1N([O-])[O-]->2)<-[O-]c1c(N([O-])[O-])cc(N([O-])[O-])cc1N([O-])[O-]->3,0,0,Y,9,CN1CCCC1=O->[Y+3]123(<-O=C4CCCN4C)(<-O=C4CCCN4C)(<-[O-]c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-]->1)(<-[O-]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]->2)<-[O-]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]->3,9.0,
YUCLAM,CC(C)c1cccc(C(C)C)c1N1=C[N-](c2c(C(C)C)cccc2C(C)C)->[Y+3]<-123(<-[O-]C#P)(<-C(=N->2c1c(C(C)C)cccc1C(C)C)[N-]->3c1c(C(C)C)cccc1C(C)C)<-O1CCCC1,0,0,Y,7,CC(C)c1cccc(C(C)C)c1N1=C[N-](c2c(C(C)C)cccc2C(C)C)->[Y+3]<-12(<-[O-]C#P)(<-N(=C[N-]->2c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C)<-O1CCCC1,6.0,CC(C)c1cccc(C(C)C)c1[N:4Π]1=C[N-:5Π](c2c(C(C)C)cccc2C(C)C)->[Y+3Π]<-12(<-[O-:6↓]C#P)(<-[N:3Π](=C[N-:1↑]->2c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C)<-[O:2Π]1CCCC1
SIHZOC,Cc1cc23->[Sc+3]4567(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-n8cccc9cccc(-[c-]->4(c->5(C)c->62C)c->73s1)c98,0,0,Sc,8,Cc1c[c-]23->[Sc+3]4567(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-n8cccc9cccc(-c->4(c->5(C)c->62C)c->73s1)c98,8.0,
TIMNIM,CC#N->[Y+7](<-[O-2])(<-[O-2])(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N#CC,0,0,Y,7,CC#N->[Y+3](<-O)(<-O)(<-[Cl-])(<-[Cl-])(<-[Cl-])<-N#CC,7.0,
IPEQAY,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Sc+3](<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[CH2-][Si](C)(C)C)c(C)c1,0,0,Sc,4,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Sc+3](<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[CH2-][Si](C)(C)C)c(C)c1,4.0,
TUDFUW,CC(C)P1(C[N-](c2ccccc2)->[Sc+3]<-123(<-[N-](CP->2(C(C)C)C(C)C)c1ccccc1)<-[N-](CP->3(C(C)C)C(C)C)c1ccccc1)C(C)C,0,0,Sc,6,CC(C)P1(C[N-](c2ccccc2)->[Sc+3]<-123(<-[N-](CP->2(C(C)C)C(C)C)c1ccccc1)<-[N-](CP->3(C(C)C)C(C)C)c1ccccc1)C(C)C,6.0,
OZACIE,CC(C)N1C=CN(C(C)C)C1=C->[Sc+3]1234(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-c5c->1([Si](C)(C)C)c->21cccc[c-]->31c->45[Si](C)(C)C,0,0,Sc,8,CC(C)N1C=CN(C(C)C)[C]1[CH2-]->[Sc+4]1234(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[cH-]5c->1([Si](C)(C)C)c->21ccccc->31c->45[Si](C)(C)C,8.0,
RIDVEJ,CCCC[O-]->[Y+3](<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C,-1,0,Y,4,CCCC[O-]->[Y+3](<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C,4.0,
HEPJEV,CC1(C)COC2c3ccccc3N3=C4C=CC=CC4=C4C=CC=CC4=N4c5ccccc5C5=N(->[Sc+]<-3<-4(<-[Se-]C[Si](C)(C)C)(<-N=21)<-O1CCCC1)C(C)(C)CO5,0,0,Sc,6,CC1(C)COC2c3ccccc3[N-]3c4ccccc4-c4ccccc4[N-]4c5ccccc5C5=N(->[Sc+3]<-3<-4(<-[Se-]C[Si](C)(C)C)(<-N=21)<-O1CCCC1)C(C)(C)CO5,6.0,CC1(C)COC2c3ccccc3[N-:5Π]3c4ccccc4-c4ccccc4[N-:1↑]4c5ccccc5C5=[N:3Π](->[Sc+3Π]<-3<-4(<-[Se-:6↓]C[Si](C)(C)C)(<-[N:4Π]=21)<-[O:2Π]1CCCC1)C(C)(C)CO5
PUPMIZ,CC1=CC(C)=N2CCN(C)(C)->[Sc+]<-2(<-[C](C(C)=PP2N(c3c(C(C)C)cccc3C(C)C)CCN2c2c(C(C)C)cccc2C(C)C)c2ccccc2)<-[N-]1c1c(C(C)C)cccc1C(C)C,0,0,Sc,4,CC1=CC(C)=N(c2c(C(C)C)cccc2C(C)C)->[Sc+3]23(<-[C-](=C(C)[P-]->2P2N(c4c(C(C)C)cccc4C(C)C)CCN2c2c(C(C)C)cccc2C(C)C)c2ccccc2)<-[N-]1CCN->3(C)C,5.0,
KORWEW,CC(C)[Si](C#Cc1c2ccccc2c(C2=CC=CC3=C4C=CC5c6cccc(-c7c8ccccc8c(C#C[Si](C(C)C)(C(C)C)C(C)C)c8ccccc78)n6->[Y+3](<-N=54)(<-[N-]23)(<-[n-]2ccc3ccccc32)<-[n-]2ccc3ccccc32)c2ccccc12)(C(C)C)C(C)C,0,0,Y,5,CC(C)[Si](C#Cc1c2ccccc2c(-c2cccc3-c4ccc5-c6cccc(-c7c8ccccc8c(C#C[Si](C(C)C)(C(C)C)C(C)C)c8ccccc78)n6->[Y+3](<-n23)(<-[n-]45)(<-[n-]2ccc3ccccc32)<-[n-]2ccc3ccccc32)c2ccccc12)(C(C)C)C(C)C,5.0,
LIRSOY,CC(C)c1cccc(C(C)C)c1N1=C(c2ccccc2)[N-](CCP(c2ccccc2)c2ccccc2)->[Sc+]<-123(<-[CH]c1ccccc1N->2(C)C)<-[CH]c1ccccc1N->3(C)C,0,0,Sc,6,CC(C)c1cccc(C(C)C)c1[N-]1C(c2ccccc2)=N(CCP(c2ccccc2)c2ccccc2)->[Sc+5]<-123(<-[CH-2]c1ccccc1N->2(C)C)<-[CH-2]c1ccccc1N->3(C)C,6.0,CC(C)c1cccc(C(C)C)c1[N-:2Π]1C(c2ccccc2)=[N:3Π](CCP(c2ccccc2)c2ccccc2)->[Sc+5Π]<-123(<-[CH-2:6↓]c1ccccc1[N:5Π]->2(C)C)<-[CH-2:1↑]c1ccccc1[N:4Π]->3(C)C
TIFQAE,B->[YH+2]12(<-[N-](c3cc(C(C)(C)C)cc4c3O->1c1c([N-]->2c2c(C(C)C)cccc2C(C)C)cc(C(C)(C)C)cc1C4(C)C)c1c(C(C)C)cccc1C(C)C)(<-O1CCCC1)<-O1CCCC1,0,0,Y,6,CC(C)c1cccc(C(C)C)c1[N-]1c2cc(C(C)(C)C)cc3c2O2->[Y+3]<-14(<-[H][BH2-][H]->4)(<-[N-](c1cc(C(C)(C)C)cc(c12)C3(C)C)c1c(C(C)C)cccc1C(C)C)(<-O1CCCC1)<-O1CCCC1,7.0,
YIMXEB,CC(C)N1=Cc2ccc[n-]2->[Y+3]<-123(<-N(=Cc1ccc[n-]->21)C(C)C)<-N(=Cc1ccc[n-]->31)C(C)C,0,0,Y,6,CC(C)N1=Cc2ccc[n-]2->[Y+3]<-123(<-N(=Cc1ccc[n-]->21)C(C)C)<-N(=Cc1ccc[n-]->31)C(C)C,6.0,CC(C)[N:5Π]1=Cc2ccc[n-:4Π]2->[Y+3Π]<-123(<-[N:1↑](=Cc1ccc[n-:2Π]->21)C(C)C)<-[N:6↓](=Cc1ccc[n-:3Π]->31)C(C)C
VAQHOO,Cc1cc(C)c([N-](P(c2ccccc2)c2ccccc2)->[Y+3]2345(<-[CH2-]c6ccccc6N->2(C)C)<-[CH2-]c->32ccccc->42N->5(C)C)c(C)c1,0,0,Y,7,Cc1cc(C)c([N-]2P(c3ccccc3)(c3ccccc3)->[Y+3]<-234(<-[CH2-]c2ccccc2N->3(C)C)<-[CH2-]c2ccccc2N->4(C)C)c(C)c1,6.0,
ITUDIN,CC(C)c1cccc(C(C)C)c1[N-]([SiH](C)C)->[Y+3](<-n1ccccc1)(<-[N-](c1c(C(C)C)cccc1C(C)C)[SiH](C)C)<-[N-](c1c(C(C)C)cccc1C(C)C)[SiH](C)C,0,0,Y,4,CC(C)c1cccc(C(C)C)c1[N-]([SiH](C)C)->[Y+3](<-n1ccccc1)(<-[N-](c1c(C(C)C)cccc1C(C)C)[SiH](C)C)<-[N-](c1c(C(C)C)cccc1C(C)C)[SiH](C)C,4.0,
OFACAD,C[Si](C)(C)c12->[Y+3]3456789%10(<-[Cl-])(<-c1c->3[c-]->4([Si](C)(C)c->51c->6c->7[c-]->8([Si](C)(C)C)c->91)c->%102)<-O1CCCC1,0,0,Y,12,C[Si](C)(C)c12->[Y+3]3456789%10(<-[Cl-])(<-c1[cH-]->3c->4([Si](C)(C)c->51c->6[cH-]->7c->8([Si](C)(C)C)c->91)c->%102)<-O1CCCC1,12.0,
