CSD_code,total_charge,fixed_CSD_SMILES,NBO,xyz2mol_tm,TMC-LewisGen
ABATED,0,CC1=CC(C)=N(c2c(C)cccc2C)->[Co+]23456(<-c7c->2c->3c->4(C)c->5c->67)<-[N-]1c1c(C)cccc1C,C/C1=C/C(C)=N(/c2c(C)cccc2C)->[Co+]23456(<-c7c->2c->3c->4(C)c->5c->67)<-[N-]1c1c(C)cccc1C,CC1=CC(C)=N(c2c(C)cccc2C)->[Co+]23456(<-c7c->2c->3c->4(C)c->5c->67)<-[N-]1c1c(C)cccc1C,[Co+]123456(<-c7([H])c->1(C([H])([H])[H])c->2([H])c->3([H])c->4([H])c->57[H])<-N(c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])=C(C([H])=C(C([H])([H])[H])N6c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])[H]
ABAVAA,0,CC1=C(C)C(C)([Si-](Cl)(->[Hg+2]<-[Cl-])C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C,CC1=C(C)C(C)([Si-](Cl)(->[Hg+2]<-[Cl-])C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C,CC1=C(C)C(C)([Si-](Cl)(->[Hg+2]<-[Cl-])C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C,[Hg+2]([Si](Cl)(C1(C([H])([H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])C(C([H])([H])[H])=C1C([H])([H])[H])C1(C([H])([H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])C(C([H])([H])[H])=C1C([H])([H])[H])Cl
ABAXIK,1,CN12->[Fe+2]3(<-[I-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(C)(CC1)CCN->3(C)CC2,CN12->[Fe+2]3(<-[I-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(C)(CC1)CCN->3(C)CC2,CN12->[Fe+2]3(<-[I-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(C)(CC1)CCN->3(C)CC2,I[Fe+2]12(<-N3(C([H])([H])[H])C([H])([H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])C([H])([H])N->2(C([H])([H])[H])C([H])([H])C3([H])[H])(<-[C-]#[O+])<-[C-]#[O+]
ABAZIO,0,CN(C)c1ccc(P(C(C)(C)C)(C(C)(C)C)->[Pd+2]2(<-[O-]C(=O)C(F)(F)F)<-[c-]3ccccc3CN->2(C)C)cc1,CN(C)c1ccc(P(C(C)(C)C)(C(C)(C)C)->[Pd@+2]2(<-[O-]C(=O)C(F)(F)F)<-[c-]3ccccc3CN->2(C)C)cc1,CN(C)c1ccc(P(C(C)(C)C)(C(C)(C)C)->[Pd+2]2(<-[O-]C(=O)C(F)(F)F)<-[c-]3ccccc3CN->2(C)C)cc1,[Pd+2]1(<-P(c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(c2c(C([H])([H])N->1(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c2[H])OC(=O)C(F)(F)F
ABEFUI,0,[Cl-]->[Zr+4]1(<-[Cl-])(<-[N-](CCC[N-]->1c1ccccc1)c1ccccc1)(<-O1CCCC1)<-O1CCCC1,[Cl-]->[Zr+4]1(<-[Cl-])(<-[N-](CCC[N-]->1c1ccccc1)c1ccccc1)(<-O1CCCC1)<-O1CCCC1,[Cl-]->[Zr+4]1(<-[Cl-])(<-[N-](CCC[N-]->1c1ccccc1)c1ccccc1)(<-O1CCCC1)<-O1CCCC1,[Zr+4]1(Cl)(Cl)(<-O2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])(<-O2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])N1c1c([H])c([H])c([H])c([H])c1[H]
ABEGOG,0,O=C1Cc2cn3ccccc3n2->[Zn+2]2(<-O)(<-[O-]1)<-[O-]C(=O)Cc1cn3ccccc3n->21,O=C1Cc2cn3ccccc3n2->[Zn+2]2(<-O)(<-[O-]1)<-[O-]C(=O)Cc1cn3ccccc3n->21,O=C1Cc2cn3ccccc3n2->[Zn+2]2(<-O)(<-[O-]1)<-[O-]C(=O)Cc1cn3ccccc3n->21,[Zn+2]12(OC(=O)C(c3n->1c1n(c3[H])c([H])c([H])c([H])c1[H])([H])[H])(<-O([H])[H])OC(=O)C(c1n->2c2n(c1[H])c([H])c([H])c([H])c2[H])([H])[H]
ABEPAA,1,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC,[Ni+2](Cl)(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])<-C1N(C([H])([H])[H])c2c(c([H])c([H])c([H])c2[H])N1[H]
ABEPEE,1,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[C]1Nc2ccccc2N1C)<-P(CC)(CC)CC,[Ni+2](Cl)(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])(<-P(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])<-C1N(C([H])([H])[H])c2c(c([H])c([H])c([H])c2[H])N1[H]
ABEWOT,1,CC1=C(C)C2C3C(C)=C(C)C4C1P2(c1ccccc1)->[Ru+2]12567(<-[Cl-])(<-c8(C)c->1(C)c->2(C)c->5(C)c->6(C)c->78C)<-P43c1ccccc1,CC1=C(C)[C@H]2[C@H]3C(C)=C(C)[C@H]4[C@@H]1P2(c1ccccc1)->[Ru+2]12567(<-[Cl-])(<-c8(C)c->1(C)c->2(C)c->5(C)c->6(C)c->78C)<-P34c1ccccc1,CC1=C(C)C2C3C(C)=C(C)C4C1P2(c1ccccc1)->[Ru+2]12567(<-[Cl-])(<-c8(C)c->1(C)c->2(C)c->5(C)c->6(C)c->78C)<-P43c1ccccc1,[Ru+2]123456(<-P7(c8c([H])c([H])c([H])c([H])c8[H])C8([H])C(C([H])([H])[H])=C(C([H])([H])[H])C7([H])C7([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])C8([H])C(C([H])([H])[H])=C7C([H])([H])[H])(Cl)<-c1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->5(C([H])([H])[H])c->61C([H])([H])[H]
ABEWUZ,1,CC1=CP2(c3ccccc3)->[Ru+2]34567(<-[Cl-])(<-c8(C)c->3(C)c->4(C)c->5(C)c->6(C)c->78C)<-P3(c4ccccc4)C4C(C)=C(C)C3C1(C)C42,CC1=CP2(c3ccccc3)->[Ru+2]34567(<-[Cl-])(<-c8(C)c->3(C)c->4(C)c->5(C)c->6(C)c->78C)<-[P@OH30]3(c4ccccc4)[C@@H]4C(C)=C(C)[C@H]3[C@H]2[C@]14C,CC1=CP2(c3ccccc3)->[Ru+2]34567(<-[Cl-])(<-c8(C)c->3(C)c->4(C)c->5(C)c->6(C)c->78C)<-P3(c4ccccc4)C4C(C)=C(C)C3C1(C)C42,[Ru+2]123456(<-P7(c8c([H])c([H])c([H])c([H])c8[H])C8([H])C9([H])P->1(c1c([H])c([H])c([H])c([H])c1[H])C([H])=C(C([H])([H])[H])C9(C([H])([H])[H])C7([H])C(C([H])([H])[H])=C8C([H])([H])[H])(Cl)<-c1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->5(C([H])([H])[H])c->61C([H])([H])[H]
ABEXAG,0,C=C1CP(c2ccccc2)(->[Ru+2]23456(<-[Cl-])(<-[Cl-])<-c7(C)c->2(C)c->3(C)c->4(C)c->5(C)c->67C)C=C1C,C=C1CP(c2ccccc2)(->[Ru+2]23456(<-[Cl-])(<-[Cl-])<-c7(C)c->2(C)c->3(C)c->4(C)c->5(C)c->67C)C=C1C,C=C1CP(c2ccccc2)(->[Ru+2]23456(<-[Cl-])(<-[Cl-])<-c7(C)c->2(C)c->3(C)c->4(C)c->5(C)c->67C)C=C1C,[Ru+2]12345(<-P6(c7c([H])c([H])c([H])c([H])c7[H])C([H])([H])C(=C([H])[H])C(C([H])([H])[H])=C6[H])(Cl)(Cl)<-c6(C([H])([H])[H])c->1(C([H])([H])[H])c->2(C([H])([H])[H])c->3(C([H])([H])[H])c->4(C([H])([H])[H])c->56C([H])([H])[H]
ABEYUD,1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2ccn(C)c2)<-n2ccccc2N)c1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2ccn(C)c2)<-n2ccccc2N)c1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2ccn(C)c2)<-n2ccccc2N)c1,[Re+](<-n1c([H])c([H])c([H])c([H])c1N([H])[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ABEZAJ,0,Cc1cc(C)c([N-]2c3ccccc3C3(C)[N-](C4CCCCC4)->[Ti+4]<-2(<-[Cl-])(<-[N-](C)C)<-N3(C)C)c(C)c1,Cc1cc(C)c([N-]2c3ccccc3[C@]3(C)[N-](C4CCCCC4)->[Ti+4]<-2(<-[Cl-])(<-[N-](C)C)<-N3(C)C)c(C)c1,Cc1cc(C)c([N-]2c3ccccc3C3(C)[N-](C4CCCCC4)->[Ti+4]<-2(<-[Cl-])(<-[N-](C)C)<-N3(C)C)c(C)c1,C12(C([H])([H])[H])N(C([H])([H])[H])(C([H])([H])[H])->[Ti+4](Cl)(N(C([H])([H])[H])C([H])([H])[H])(N1C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c2c([H])c([H])c([H])c1[H]
ABEZEO,1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1,[Re+](<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])c([H])c([H])c(N([H])[H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ABEZIS,1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1,Cn1ccn(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n2cccc(N)c2)<-n2ccn(C)c2)c1,[Re+](<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])n(C([H])([H])[H])c([H])c1[H])(<-n1c([H])c([H])c([H])c(N([H])[H])c1[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ABICIY,1,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+]567(<-[C]32)<-C2=C->5CCC->6=C->7CC2)C(C)(C)CO4)c(C)c1,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+]567(<-[C]32)<-C2=C->5/CC/C->6=C->7\CC\2)C(C)(C)CO4)c(C)c1,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+]567(<-[C]32)<-C2=C->5CCC->6=C->7CC2)C(C)(C)CO4)c(C)c1,[Rh+]1234(<-N5=C(N6C([H])=C([H])N(c7c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c7C([H])([H])[H])C->16)OC([H])([H])C5(C([H])([H])[H])C([H])([H])[H])<-C1([H])=C->2([H])C([H])([H])C([H])([H])C->3([H])=C->4([H])C([H])([H])C1([H])[H]
ABICUK,0,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+](<-[Br-])(<-[C-]#[O+])<-[C]32)C(C)(C)CO4)c(C)c1,Cc1cc(C)c(N2C=CN3C4=N(->[Rh@@+](<-[Br-])(<-[C-]#[O+])<-[C]32)C(C)(C)CO4)c(C)c1,Cc1cc(C)c(N2C=CN3C4=N(->[Rh+](<-[Br-])(<-[C-]#[O+])<-[C]32)C(C)(C)CO4)c(C)c1,[Rh+]1(Br)(<-[C-]#[O+])<-C2N(c3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])C([H])=C([H])N2C2=N->1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O2
ABIDIB,0,CC(=O)[O-]->[Pd+2](<-[O-]C(C)=O)(<-N(C(C)C)C1CCCCC1)<-N(C(C)C)C1CCCCC1,CC(=O)[O-]->[Pd+2](<-[O-]C(C)=O)(<-N(C(C)C)C1CCCCC1)<-N(C(C)C)C1CCCCC1,CC(=O)[O-]->[Pd+2](<-[O-]C(C)=O)(<-N(C(C)C)C1CCCCC1)<-N(C(C)C)C1CCCCC1,[Pd+2](OC(=O)C([H])([H])[H])(<-N([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(OC(=O)C([H])([H])[H])<-N([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
ABIFEZ,0,CC(C)N(C(C)C)->[Pd+2](<-[O-]C(=O)C(C)(C)C)(<-[O-]C(=O)C(C)(C)C)<-N(C(C)C)C(C)C,CC(C)N(C(C)C)->[Pd+2](<-[O-]C(=O)C(C)(C)C)(<-[O-]C(=O)C(C)(C)C)<-N(C(C)C)C(C)C,CC(C)N(C(C)C)->[Pd+2](<-[O-]C(=O)C(C)(C)C)(<-[O-]C(=O)C(C)(C)C)<-N(C(C)C)C(C)C,[Pd+2](OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-N([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])<-N([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
ABIKAY,0,C[Si]1(C)c2ccccn2->[Ru]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->21,C[Si]1(C)c2ccccn2->[Ru]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->21,C[Si]1(C)c2ccccn2->[Ru]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->21,[Ru]12(<-n3c([Si](C->1(=C->2([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c3[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ABIPAE,0,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccccc3CN->13CCCC3C1CCCN->21Cc1ccccn1,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccccc3CN->13CCC[C@@H]3[C@H]1CCCN->21Cc1ccccn1,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccccc3CN->13CCCC3C1CCCN->21Cc1ccccn1,[Mo]12(<-n3c([H])c([H])c([H])c([H])c3C(N->13C([H])([H])C([H])([H])C([H])([H])C3([H])C1([H])N->2(C([H])([H])c2nc([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H])([H])[H])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
ABIQIN,0,CC1=CC(C)=N2CCN3=C(C)C=C(C)[O-]->[Re+5]<-2<-3(<-[O-2])(<-[C-]#N)<-[O-]1,C/C1=C/C(C)=N2/CC/N3=C(C)/C=C(/C)[O-]->[Re+5]<-2<-3(<-[O-2])(<-[C-]#N)<-[O-]1,CC1=CC(C)=N2CCN3=C(C)C=C(C)[O-]->[Re+5]<-2<-3(<-[O-2])(<-[C-]#N)<-[O-]1,O1->[Re+5]23(=O)(<-O=C(C(=C(N2C([H])([H])C([H])([H])N3C(=C(C=1C([H])([H])[H])[H])C([H])([H])[H])C([H])([H])[H])[H])C([H])([H])[H])C#N
ABIQOR,0,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3,CC(C)c1cccc(C(C)C)c1[N-2]->[Ti+4]12(<-[Cl-])(<-[Cl-])<-N3(C(C)(C)C)CN->1(C(C)(C)C)CN->2(C(C)(C)C)C3,[Ti+4]12(=Nc3c(C(C([H])([H])[H])(C([H])([H])[H])[H])c([H])c([H])c([H])c3C(C([H])([H])[H])(C([H])([H])[H])[H])(<-N3(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N->1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N->2(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C3([H])[H])(Cl)Cl
ABIQUX,0,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3,CC(C)(C)[N-2]->[Ti+4]12(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-N3(C)CN->1(C)CN->2(C)C3,[Ti+4]12(=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(<-N3(C([H])([H])[H])C([H])([H])N->1(C([H])([H])[H])C([H])([H])N->2(C([H])([H])[H])C3([H])[H])(C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H]
