IDs,smiles_NBO_DFT_xyz,formula_heaviest_fragment,charge,smiles_CSD_fix,smiles_huckel_CSD_xyz,smiles_huckel_DFT_xyz
ACUTAU,N#C/C1[S-]->[Mo+4]2(<-[S-]/C=1C#N)(<-[S-]/C(C#N)=C(\C#N)[S-]->2)(<-[S-]c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,C32 H20 Mo1 N4 P1 S5 1-,-1.0,fail,N#CC1[S-]->[Mo+4]2(<-[S-]C=1C#N)(<-[S-]C(C#N)=C(C#N)[S-]->2)(<-[S-]c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,N#CC1[S-]->[Mo+4]2(<-[S-]C=1C#N)(<-[S-]C(C#N)=C(C#N)[S-]->2)(<-[S-]c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
ADAPUT,,C31 H23 Ir1 N2 O4,0.0,fail,CC1=CC(C)=O->[Ir+3]23(<-[O-]1)(<-[c-]1ccccc1-c1c4ccoc4ccn->21)<-[c-]1ccccc1-c1c2ccoc2ccn->31,CC1=CC(C)=O->[Ir+3]23(<-[O-]1)(<-[c-]1ccccc1-c1c4ccoc4ccn->21)<-[c-]1ccccc1-c1c2ccoc2ccn->31
ADEYOX,CC(C)(C)P(=[N-]->[Ta+5]1234(<-[CH3-])(<-[CH3-])(<-[CH3-])<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C)(C(C)(C)C)C(C)(C)C,C25 H51 N1 P1 Ta1,0.0,CC(C)(C)P(=[N-]->[Ta+5]1234(<-[CH3-])(<-[CH3-])(<-[CH3-])<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C)(C(C)(C)C)C(C)(C)C,CC(C)(C)P(=[N-]->[Ta+5]1234(<-[CH3-])(<-[CH3-])(<-[CH3-])<-c5(C)c->1(C)c->2(C)[c-]->3(C)c->45C)(C(C)(C)C)C(C)(C)C,Cc1c(C)[c-](C)c(C)(->[Ta+5](<-[CH3-])(<-[CH3-])(<-[CH3-])<-[N-]=P(C(C)(C)C)(C(C)(C)C)C(C)(C)C)c1C
ADIXOA,CC[c-]12->[Zr+4]3456789%10(<-O=C(CS)[O-]->3)(<-[O-]C(=O)CS)(<-c(C)(c->4(C)c->51C)c->62C)<-c1(C)c->7(C)c->8(C)[c-]->9(CC)c->%101C,C26 H40 O4 S2 Zr1,0.0,fail,CC[c-]12->[Zr+4]3456789%10%11(<-O=C->3(CS)[O-]->4)(<-[O-]C(=O)CS)(<-c(C)(c->5(C)c->61C)c->72C)<-c1(C)c->8(C)c->9(C)[c-]->%10(CC)c->%111C,CC[c-]12->[Zr+4]3456789%10%11(<-O=C->3(CS)[O-]->4)(<-[O-]C(=O)CS)(<-c(C)(c->5(C)c->61C)c->72C)<-c1(C)c->8(C)c->9(C)[c-]->%10(CC)c->%111C
ADOFOR,,C8 H8 Pd1 S8,0.0,C1CSC2[S-]->[Pd+4]3(<-[S-]C=2S1)<-[S-]C1=C([S-]->3)SCCS1,C1CSC2=S->[Pd]3(<-S=C2S1)<-S=C1SCCSC1=S->3,C1CSC2=S->[Pd]3(<-S=C2S1)<-S=C1SCCSC1=S->3
ADURAS,CC(C)(C)C(=O)/C=C(\[O-]->[Ag+]12<-S3CCS->1CCS->2CC3)C(F)(F)C(F)(F)C(F)(F)F,C16 H22 Ag1 F7 O2 S3,0.0,fail,CC(C)(C)C(=O)C=C([O-]->[Ag+]12<-S3CCS->1CCS->2CC3)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C)C1=CC(=O->[Ag+]23(<-[O-]1)<-S1CCS->2CCS->3CC1)C(F)(F)C(F)(F)C(F)(F)F
AFAMIF,COc1ccc(-c2[c-](->[Pd+2](<-[Cl-])(<-[Cl-])<-n3ccccc3)n(Cc3ccc(F)cc3)c3cccc[n+]23)cc1,C26 H22 Cl2 F1 N3 O1 Pd1,0.0,COc1ccc(-c2[c](->[Pd+](<-[Cl-])(<-[Cl-])<-n3ccccc3)[n+](Cc3ccc(F)cc3)c3ccccn23)cc1,COc1ccc(-c2[c-](->[Pd+2](<-[Cl-])(<-[Cl-])<-n3ccccc3)[n+](Cc3ccc(F)cc3)c3ccccn23)cc1,COc1ccc(-c2[c-](->[Pd+2](<-[Cl-])(<-[Cl-])<-n3ccccc3)[n+](Cc3ccc(F)cc3)c3ccccn23)cc1
AFEKAA,CO->[Mo+4]12(<-[O-2])(<-[O-2])<-O=C3C(Br)=CC(Cl)=C/C3=C/N->1=N/C(=O->2)c1ccc([N+](=O)[O-])cc1,C15 H11 Br1 Cl1 Mo1 N3 O7,0.0,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]C(=NN->1=Cc1cc(Cl)cc(Br)c1[O-]->2)c1ccc([N+](=O)[O-])cc1,CO->[Mo+6]12(<-[O-2])(<-[O-2])<-[O-]C(=NN->1=Cc1cc(Cl)cc(Br)c1[O-]->2)c1ccc([N+](=O)[O-])cc1,CO.O=[N+]([O-])c1ccc(C2=NN3->[Mo+6](<-[O-2])(<-[O-2])(<-[O-]2)<-[O-]c2c(Br)cc(Cl)cc2C=3)cc1
AFISEO,CO1CCO(C)->[Nb+5]<-1(<-[O-2])(<-[Cl-])(<-[Cl-])<-[Cl-],C4 H10 Cl3 Nb1 O3,0.0,CO1CCO(C)->[Nb+5]<-1(<-[O-2])(<-[Cl-])(<-[Cl-])<-[Cl-],CO1CCO(C)->[Nb+5]<-1(<-[O-2])(<-[Cl-])(<-[Cl-])<-[Cl-],COCCO(C)->[Nb+5](<-[O-2])(<-[Cl-])(<-[Cl-])<-[Cl-]
AFOYEZ,Cc12->[Y+3]3456789(<-[Cl-])(<-O=C(c%10ccccc%10)c%10ccccc%10)(<-c1(C)c->3(C)[c-]->4(C)c->52C)<-c1(C)c->6(C)c->7(C)[c-]->8(C)c->91C,C33 H40 Cl1 O1 Y1,0.0,Cc12->[Y+3]3456789(<-[Cl-])(<-O=C(c%10ccccc%10)c%10ccccc%10)(<-c1(C)c->3(C)[c-]->4(C)c->52C)<-c1(C)c->6(C)c->7(C)[c-]->8(C)c->91C,Cc12->[Y+3]3456789(<-[Cl-])(<-O=C(c%10ccccc%10)c%10ccccc%10)(<-c1(C)c->3(C)[c-]->4(C)c->52C)<-c1(C)c->6(C)c->7(C)[c-]->8(C)c->91C,Cc1c(C)c2(C)->[Y+3]34567(<-[Cl-])(<-O=C(c8ccccc8)c8ccccc8)(<-c8(C)c->3(C)c->4(C)[c-]->5(C)c->68C)<-c1(C)[c-]->72C
AFUGEQ,CCCCNC1=CC2=N(\CCCC)->[Pd+2]3(<-O=C(C)/C=C(/C)[O-]->3)<-N(/CCCC)=C\2C=C1NCCCC,C27 H47 N4 O2 Pd1 1+,1.0,fail,CCCCNc1cc2[N-](CCCC)->[Pd+4]3(<-O=C(C)C=C(C)[O-]->3)<-[N-](CCCC)c2cc1NCCCC,CCCCNc1cc2[N-](CCCC)->[Pd+4]3(<-O=C(C)C=C(C)[O-]->3)<-[N-](CCCC)c2cc1NCCCC
AFUXIJ,S=c1sc2[S-]->[Ti+4]3456789%10(<-[S-]c2n1-c1ccccc1)(<-c1c->3c->4[cH-]->5c->61)<-c1c->7c->8[cH-]->9c->%101,C19 H15 N1 S4 Ti1,0.0,S=c1sc2[S-]->[Ti+4]3456789%10(<-[S-]c2n1-c1ccccc1)(<-c1c->3c->4[cH-]->5c->61)<-c1c->7c->8[cH-]->9c->%101,S=C1SC2=S->[Ti+2]3456789%10(<-S=C2N1c1ccccc1)(<-c1c->3c->4[cH-]->5c->61)<-c1c->7c->8[cH-]->9c->%101,S=C1SC2=S->[Ti+2]3456789%10(<-S=C2N1c1ccccc1)(<-c1c->3c->4[cH-]->5c->61)<-c1c->7c->8[cH-]->9c->%101
AGAMAX,S=C=[N-]->[Zn+2]1(<-[N-]=C=S)(<-N(=C\c2ccccn->12)/c1ccc(C#Cc2ccccc2)cc1)<-n1ccccc1/C=N/c1ccc(C#Cc2ccccc2)cc1,C42 H28 N6 S2 Zn1,0.0,S=C=[N-]->[Zn+2]12(<-[N-]=C=S)(<-N(=Cc3ccccn->13)c1ccc(C#Cc3ccccc3)cc1)<-N(=Cc1ccccn->21)c1ccc(C#Cc2ccccc2)cc1,S=C=[N-]->[Zn+2]12(<-[N-]=C=S)(<-N(=Cc3ccccn->13)c1ccc(C#Cc3ccccc3)cc1)<-N(=Cc1ccccn->21)c1ccc(C#Cc2ccccc2)cc1,S=C=[N-]->[Zn+2]12(<-[N-]=C=S)(<-N(=Cc3ccccn->13)c1ccc(C#Cc3ccccc3)cc1)<-N(=Cc1ccccn->21)c1ccc(C#Cc2ccccc2)cc1
AGEVAJ,CC12=C->[Pd+2]<-13(<-[CH2-]2)<-S=P(c1ccccc1)(c1ccccc1)c1c([P+]([S-])(c2ccccc2)c2ccccc2)nn[n-]->31,C30 H27 N3 P2 Pd1 S2,0.0,fail,,
AGIPOW,Cc1cc(C)c([B-](c2c(C)cc(C)cc2C)=c2cccc3c2=C(->[Hg+2]<-[Cl-])=CC=C3)c(C)c1,C28 H28 B1 Cl1 Hg1,0.0,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3ccc[c-](->[Hg+2]<-[Cl-])c23)c(C)c1,Cc1cc(C)c([B-](c2c(C)cc(C)cc2C)=c2cccc3c2=C(->[Hg+2]<-[Cl-])=CC=C3)c(C)c1,Cc1cc(C)c([B-](c2c(C)cc(C)cc2C)=c2cccc3c2=C(->[Hg+2]<-[Cl-])=CC=C3)c(C)c1
AGOSOF,,C25 H18 Cl1 N5 O1 Ru1,0.0,[Cl-]->[Ru+2]123(<-[O-]c4ccc5ccccc5c4N->1=Nc1ccccn->21)<-n1ccccc1-c1ccccn->31,[Cl-]->[Ru+4]123(<-[O-]c4ccc5ccccc5c4[N-]->1N=c1cccc[n-]->21)<-n1ccccc1-c1ccccn->31,[Cl-]->[Ru+4]123(<-[O-]c4ccc5ccccc5c4[N-]->1N=c1cccc[n-]->21)<-n1ccccc1-c1ccccn->31
AGUVUT,[Cl-]->[Y+3]123456(<-c7c8ccccc8[c-]->1(C[C@H]1CCCO->21)c->37)<-c1c2ccccc2[c-]->4(C[C@H]2CCCO->52)c->61,C28 H30 Cl1 O2 Y1,0.0,[Cl-]->[Y+3]123456789%10(<-c%11[cH-]->1c->2(CC1CCCO->31)c->41ccccc->5%111)<-c1[cH-]->6c->7(CC2CCCO->82)c->92ccccc->%1012,[Cl-]->[Y+3]123456789%10(<-c%11c->1[c-]->2(CC1CCCO->31)c->41ccccc->5%111)<-c1c->6[c-]->7(CC2CCCO->82)c->92ccccc->%1012,[Cl-]->[Y+3]1234567(<-c8c->1[c-]->2(CC1CCCO->31)c->41ccccc->581)<-c1cc2ccccc2[c-]->61CC1CCCO->71
AHAZUE,c1ccc(CS2CCN3CCS(Cc4ccccc4)->[Cu+]<-2<-S(CC3)Cc2ccccc2)cc1,C27 H33 Cu1 N1 S3 1+,1.0,c1ccc(CS2CCN34CCS(Cc5ccccc5)->[Cu+]<-2<-3<-S(CC4)Cc2ccccc2)cc1,c1ccc(CS2CCN34CCS(Cc5ccccc5)->[Cu+]<-2<-3<-S(CC4)Cc2ccccc2)cc1,c1ccc(CS2CCN34CCS(Cc5ccccc5)->[Cu+]<-2<-3<-S(CC4)Cc2ccccc2)cc1
AHEXAM,Cc1ccc(S(=O)(=O)[N-]2c3ccccc3/C=N3/CC(O)C/N4=C/c5ccccc5[N-](S(=O)(=O)c5ccc(C)cc5)->[Zn+2]<-3<-4<-2)cc1,C31 H30 N4 O5 S2 Zn1,0.0,Cc1ccc(S(=O)(=O)[N-]2c3ccccc3C=N3CC(O)CN4=Cc5ccccc5[N-](S(=O)(=O)c5ccc(C)cc5)->[Zn+2]<-3<-4<-2)cc1,Cc1ccc(S(=O)(=O)[N-]2c3ccccc3C=N3CC(O)CN4=Cc5ccccc5[N-](S(=O)(=O)c5ccc(C)cc5)->[Zn+2]<-3<-4<-2)cc1,Cc1ccc(S2(=O)[O-]->[Zn+2]3456<-[O-]S(=O)(c7ccc(C)cc7)=N->3c3ccccc3C=N->4CC(O)CN->5=Cc3ccccc3N->6=2)cc1
AHUQEA,,C29 H38 N2 O2 Pd1,0.0,fail,CC1=O->[Pd+2]2(<-[O-]1)<-[C]1N(C(c3ccccc3C)C(C)(C)C)C=CN1C(c1c(C)ccc[c-]->21)C(C)(C)C,Cc1ccccc1C(N1C=CN2C(c3c(C)ccc[c-]3->[Pd+2]34(<-O=C->3(C)[O-]->4)<-[C]12)C(C)(C)C)C(C)(C)C
AJENAF,,C24 H39 F6 N1 O2 Si1 W1,0.0,CC(C)c1cccc(C(C)C)c1[N-2]->[W+6](<-[CH-2][Si](C)(C)C)(<-[O-]C(C)(C)C(F)(F)F)<-[O-]C(C)(C)C(F)(F)F,CC(C)c1cccc(C(C)C)c1[N-2]->[W+4](<-[CH][Si](C)(C)C)(<-[O-]C(C)(C)C(F)(F)F)<-[O-]C(C)(C)C(F)(F)F,CC(C)c1cccc(C(C)C)c1[N-2]->[W+4](<-[CH][Si](C)(C)C)(<-[O-]C(C)(C)C(F)(F)F)<-[O-]C(C)(C)C(F)(F)F
AJIJUY,Cc12->[Zr+4]3456789%10(<-[Cl-])(<-[Cl-])<-c1c->31ccc3sc%11ccccc%11c3[c-]->41c->52CC[c-]->61c->72ccccc->82c->92ccccc->%1021,C31 H22 Cl2 S1 Zr1,0.0,fail,Cc12->[Zr+4]3456789%10(<-[Cl-])(<-[Cl-])<-c1c->31ccc3sc%11ccccc%11c3c->41[c-]->52CC[c-]->61c->72ccccc->82c->92ccccc->%1021,Cc12->[Zr+4]3456789%10(<-[Cl-])(<-[Cl-])<-c1c->31ccc3sc%11ccccc%11c3c->41[c-]->52CC[c-]->61c->72ccccc->82c->92ccccc->%1021
AJUTUW,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ru+2]1234(<-[Cl-])<-c5c->1c->2[cH-]->3c->45,C32 H41 Cl1 N2 Ru1,0.0,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ru+2]1234(<-[Cl-])<-c5c->1c->2[cH-]->3c->45,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ru+2]1234(<-[Cl-])<-c5c->1c->2[cH-]->3c->45,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ru+2]1234(<-[Cl-])<-c5c->1c->2[cH-]->3c->45
AKEBIB,C[C-]1(O)C2=C->[Pd+2]<-2<-1(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,C40 H37 O1 P2 Pd1 1+,1.0,fail,CC(O)=C1[CH2-]->[Pd+2]<-1(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,CC1(O)=C2[CH2-]->[Pd+2]<-2<-1(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
AKIKIQ,,C26 H32 Cd1 N6 O11,0.0,Cc1nn(CC(=O)[O-]->[Cd+2](<-O)(<-O)(<-O)(<-[O-]C(=O)Cn2nc(C)c(C(=O)O)c2C)<-n2ccc(-c3ccncc3)cc2)c(C)c1C(=O)O,Cc1nn(CC(=O)[O-]->[Cd+2](<-O)(<-O)(<-O)(<-[O-]C(=O)Cn2nc(C)c(C(=O)O)c2C)<-n2ccc(-c3ccncc3)cc2)c(C)c1C(=O)O,Cc1nn(CC(=O)[O-]->[Cd+2]23(<-O)(<-O)(<-O)(<-O=C->2(Cn2nc(C)c(C(=O)O)c2C)[O-]->3)<-n2ccc(-c3ccncc3)cc2)c(C)c1C(=O)O
AKOTAW,[Cl-]->[Pd@+2]1(<-[S-]C[P+](c2ccccc2)(c2ccccc2)[N-]->1c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,C37 H32 Cl1 N1 P2 Pd1 S1,0.0,[Cl-]->[Pd+2]1(<-[S-]CP(c2ccccc2)(c2ccccc2)=N->1c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Cl-]->[Pd+2]1(<-[S-]C[P+](c2ccccc2)(c2ccccc2)[N-]->1c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,[Cl-]->[Pd+2]1(<-[S-]C[P+](c2ccccc2)(c2ccccc2)[N-]->1c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
ALABAS,CCN(CC)c1ccc(-c2cc3-c4ccccn4->[Zn+2]4(<-[O-][N+](=O)[O-])(<-[O-][N+](=O)[O-])<-n5ccccc5-c(c2)n->43)cc1,C25 H24 N6 O6 Zn1,0.0,CCN(CC)c1ccc(-c2cc3-c4ccccn4->[Zn+2]4(<-[O-][N+](=O)[O-])(<-[O-][N+](=O)[O-])<-n5ccccc5-c(c2)n->43)cc1,CCN(CC)c1ccc(-c2cc3-c4ccccn4->[Zn+2]4(<-[O-][N+](=O)[O-])(<-[O-][N+](=O)[O-])<-n5ccccc5-c(c2)n->43)cc1,CCN(CC)c1ccc(-c2cc3-c4ccccn4->[Zn+2]456(<-[O-][N+](=O)[O-]->4)(<-[O-][N+](=O)[O-]->5)<-n4ccccc4-c(c2)n->63)cc1
ALAKAZ,,C23 H23 Mo1 N1 O6,0.0,fail,C[O-]->[Mo+6]1(<-[O-2])(<-[O-2])(<-O=C(C)C=C(C)[O-]->1)<-O=C1C=Cc2ccccc2C1=CNc1ccccc1,C[O-]->[Mo+6]1(<-[O-2])(<-[O-2])(<-O=C(C)C=C(C)[O-]->1)<-O=C1C=Cc2ccccc2C1=CNc1ccccc1
ALDPMB,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->1C->2=P(c1ccccc1)(c1ccccc1)c1ccccc1,C25 H19 Mo1 O4 P1,0.0,fail,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->1C->2=P(c1ccccc1)(c1ccccc1)c1ccccc1,[O+]#[C-]->[Mo]12(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->1C->2=P(c1ccccc1)(c1ccccc1)c1ccccc1
ALESUG,CCC[N-]1/C(C)=C\C(C)=N2\CCC3[H]->[Cr+2]<-3<-2<-1456<-[H]C->4CC/N->5=C(C)/C=C(/C)[N-]->6CCC,C22 H42 Cr1 N4,0.0,CCCN1=C(C)C=C(C)[N-](CCC)->[Cr+2]<-12<-N(CCC)=C(C)C=C(C)[N-]->2CCC,CCCN1=C(C)C=C(C)[N-](CCC)->[Cr+2]<-12<-N(CCC)=C(C)C=C(C)[N-]->2CCC,CCCN1=C(C)C=C(C)[N-](CCC)->[Cr+2]<-12<-N(CCC)=C(C)C=C(C)[N-]->2CCC
ALINEP,,C17 H24 Mo1 N4 O4,0.0,fail,CC(=O)[O-]->[Mo+2]12(<-[C-]#[O+])(<-[C-]#[O+])(<-C=C->1[CH2-]->2)(<-n1[nH]c(C)cc1C)<-n1[nH]c(C)cc1C,CC(=O)[O-]->[Mo+2]12(<-[C-]#[O+])(<-C=C->1C[C-]->2=O)(<-n1[nH]c(C)cc1C)<-n1[nH]c(C)cc1C
ALIREU,CO[C@@]12/N=C3/c4ccccc4C4=N3->[Ni@SP1+2]35<-N1=C(/N=c1/c6ccccc6/c([n-]->31)=N/[C@@]1(OC)c3ccccc3/C(=N/4)[N-]->51)c1ccccc12,C34 H22 N8 Ni1 O2,0.0,COC12N=c3c4ccccc4c4[n-]3->[Ni+2]35<-N1=C(N=c1c6ccccc6c([n-]->31)=NC1(OC)c3ccccc3C(=N->51)N=4)c1ccccc12,COC12N=C3c4ccccc4C4=N3->[Ni+2]35<-N6=C(N=C(c7ccccc71)[N-]->32)c1ccccc1C6=NC1(OC)c2ccccc2C(=N4)[N-]->51,COC12N=C3c4ccccc4C4=N3->[Ni+2]35<-N6=C(N=C(c7ccccc71)[N-]->32)c1ccccc1C6=NC1(OC)c2ccccc2C(=N4)[N-]->51
ALOKOB,CCC1=C2[CH-][C+]3[C+](CC)[C+](CC)[C-]4[CH+][C+]5[C+](CC)[C+](CC)[C-]6[CH-]c7c(CC)c(CC)c8[n-]7->[Zn@SP1+2](<-[N-]2/C(=C\8)[C-]1CC)(<-[N-]34)<-[N-]56,C36 H44 N4 Zn1,0.0,CCC1=C(CC)c2cc3c(CC)c(CC)c4cc5n6->[Zn+2]7(<-n2c1cc1c(CC)c(CC)c(cc6C(CC)=C5CC)[n-]->71)<-[n-]34,CCC1=C(CC)c2cc3c(CC)c(CC)c4cc5n6->[Zn+2]7(<-n2c1cc1c(CC)c(CC)c(cc6C(CC)=C5CC)[n-]->71)<-[n-]34,CCC1=C(CC)c2cc3c(CC)c(CC)c4cc5n6->[Zn+2]7(<-n2c1cc1c(CC)c(CC)c(cc6C(CC)=C5CC)[n-]->71)<-[n-]34
